grid_index,y,x
1982,48.8330292,2.3833934
1983,48.8323019,2.384103
1984,48.8330601,2.3874465
1986,48.832878,2.3902588
1989,48.8325455,2.3965729
1991,48.8326583,2.399883
1993,48.8322931,2.4038636
2026,48.8334992,2.2767248
2027,48.8331553,2.2776132
2031,48.8333824,2.2863855
2032,48.8331028,2.2874255
2033,48.833712,2.2898917
2035,48.8338269,2.2937555
2036,48.8333723,2.2961254
2037,48.8337803,2.2978434
2038,48.8334997,2.2987009
2041,48.83331,2.3051224
2043,48.8336301,2.3090052
2046,48.8337163,2.3149783
2047,48.833401,2.3170888
2048,48.8336965,2.3176599
2049,48.8334711,2.3197032
2050,48.8337933,2.3215669
2051,48.8332458,2.3232408
2052,48.8335716,2.3258159
2053,48.8336822,2.327871
2055,48.8332819,2.3315819
2056,48.8337679,2.3333573
2057,48.833411,2.3358656
2058,48.8337827,2.3380526
2060,48.8331134,2.3412772
2062,48.8338647,2.3457564
2065,48.8331149,2.3513784
2066,48.8334887,2.3528187
2067,48.8334002,2.3542155
2068,48.833254,2.356823
2070,48.8339274,2.3598546
2071,48.8332469,2.3616568
2072,48.8333207,2.3636524
2073,48.833824,2.3650971
2075,48.8332783,2.369658
2081,48.833642,2.3819421
2082,48.8335564,2.3826949
2085,48.8338856,2.3889828
2088,48.8336313,2.3948808
2090,48.8336402,2.3985065
2092,48.8334469,2.4020516
2093,48.8338538,2.4036293
2094,48.8333363,2.4057115
2095,48.8339231,2.4067915
2118,48.8344887,2.2617073
2120,48.8343323,2.2651008
2121,48.83457,2.26695
2126,48.8341341,2.2771345
2130,48.8344462,2.2840518
2131,48.8345208,2.2858489
2132,48.8345902,2.288311
2133,48.8343989,2.2899441
2135,48.8341647,2.294323
2136,48.8344841,2.2956671
2137,48.8340564,2.2969882
2138,48.8346265,2.2988501
2141,48.8347253,2.3051594
2142,48.8343446,2.3064662
2143,48.8344154,2.3084983
2145,48.8339936,2.3123789
2146,48.834765,2.3155258
2147,48.8343666,2.3161463
2148,48.8343841,2.31895
2150,48.8343836,2.3217889
2151,48.8340841,2.3243448
2152,48.8342121,2.3262906
2153,48.8346021,2.3278623
2154,48.8341265,2.3291426
2155,48.8342836,2.3322836
2156,48.8344165,2.3333776
2158,48.834607,2.3369678
2162,48.8341573,2.3448449
2163,48.8339996,2.3463329
2164,48.8345189,2.3489605
2165,48.8347913,2.3509989
2166,48.8346586,2.3533409
2167,48.8339453,2.3538424
2168,48.8341093,2.3557204
2169,48.8345661,2.3577985
2172,48.8344802,2.3637848
2174,48.8345714,2.367376
2177,48.8344579,2.3731375
2184,48.8345784,2.3862117
2185,48.8347399,2.3879034
2189,48.8345886,2.3968912
2190,48.8341736,2.3977284
2191,48.8346807,2.4007504
2193,48.8342905,2.404433
2196,48.8343082,2.4098701
2197,48.8343583,2.4113663
2215,48.8351005,2.2552294
2216,48.8352603,2.2584987
2217,48.8348349,2.2599189
2218,48.8351857,2.2605631
2221,48.8354004,2.2669096
2222,48.8354973,2.2691422
2223,48.8354709,2.2716603
2224,48.8352948,2.2723383
2225,48.8348198,2.2740203
2228,48.8352771,2.280995
2231,48.8352546,2.2854647
2233,48.8351269,2.2890224
2234,48.8348462,2.2917153
2235,48.8354993,2.2927761
2236,48.8349499,2.2961151
2238,48.8356315,2.2997386
2239,48.8355214,2.3006958
2240,48.8353968,2.3027901
2241,48.835153,2.3055295
2242,48.8351503,2.3077904
2245,48.8353905,2.3117973
2246,48.8351529,2.3149402
2247,48.8350378,2.3173357
2248,48.8352923,2.3177901
2249,48.8350992,2.3203191
2251,48.8351053,2.3239317
2252,48.8353948,2.325727
2254,48.835165,2.3299977
2255,48.8349858,2.3318586
2256,48.8350705,2.3331108
2260,48.8353782,2.3416844
2262,48.8349574,2.3449903
2263,48.8350578,2.3464079
2264,48.8354212,2.3482081
2265,48.8349419,2.3507676
2266,48.8348738,2.3531912
2267,48.8355413,2.3541711
2268,48.8355334,2.3561121
2269,48.8355614,2.3585395
2275,48.8352646,2.3694487
2276,48.835541,2.3721229
