grid_index,y,x
1654,51.3576904,-0.0617057
1655,51.3572628,-0.0520925
1656,51.35746,-0.0480107
1657,51.3565717,-0.0346132
1658,51.3583237,-0.0301667
1659,51.3573974,-0.0198386
1660,51.3554452,-0.0110515
1663,51.3570538,0.0159277
1665,51.3582107,0.0316957
1669,51.35872,0.0670287
1670,51.3584684,0.0706658
1671,51.3592548,0.0795739
1672,51.3575275,0.0863463
1673,51.3572223,0.0964606
1674,51.3572786,0.1046093
1675,51.3582523,0.1095877
1676,51.358346,0.1223736
1677,51.3573991,0.1286932
1723,51.3609739,-0.3151501
1724,51.3610748,-0.3086053
1725,51.3613192,-0.2994005
1726,51.3614609,-0.2925033
1727,51.3602969,-0.2870178
1734,51.3629233,-0.2267781
1735,51.3609831,-0.2168977
1736,51.3612362,-0.2093014
1737,51.3610452,-0.2005414
1738,51.3619992,-0.1929643
1739,51.3613302,-0.1847793
1740,51.3616377,-0.1747661
1741,51.3612281,-0.1674598
1742,51.3609756,-0.1581323
1743,51.3611498,-0.1503383
1744,51.3622135,-0.1431051
1745,51.3618349,-0.1356253
1746,51.3615977,-0.1266712
1747,51.3616145,-0.1178082
1748,51.3607861,-0.1099273
1749,51.3617638,-0.1013771
1750,51.3614168,-0.0929254
1751,51.3607324,-0.0856069
1752,51.3614282,-0.0789144
1753,51.3612826,-0.0705007
1754,51.3598175,-0.0592806
1755,51.3595192,-0.0555593
1757,51.3592587,-0.0327198
1758,51.3612494,-0.029064
1761,51.3614816,0.0010596
1762,51.3608885,0.00278
1763,51.3624306,0.0115549
1764,51.3607712,0.021056
1765,51.361835,0.0299124
1766,51.3609913,0.0381359
1767,51.3594401,0.0430782
1768,51.3628561,0.0551727
1769,51.3617487,0.0628352
1770,51.3612271,0.0713867
1771,51.3607146,0.0788395
1772,51.361371,0.0879044
1773,51.3615019,0.0962925
1774,51.3617433,0.1045505
1775,51.3614252,0.1124837
1823,51.3651542,-0.3154511
1824,51.365407,-0.3075612
1825,51.3651235,-0.2987916
1826,51.3648421,-0.2917445
1827,51.3652712,-0.2852043
1832,51.3671093,-0.2408214
1833,51.3654632,-0.233906
1834,51.3650203,-0.2269246
1835,51.3643484,-0.2161758
1836,51.3656239,-0.2091119
1837,51.3652821,-0.2000033
1838,51.365251,-0.1924375
1839,51.3655628,-0.1842507
1840,51.3645257,-0.175323
1841,51.3657575,-0.1670992
1842,51.3651648,-0.1591404
1843,51.3645884,-0.1507035
1844,51.3652881,-0.1416209
1845,51.3661273,-0.1352784
1846,51.3653139,-0.1264799
1847,51.3652948,-0.1183046
