osmid,y,x,street_count,highway,ref,geometry
7765657573,51.5254084,-0.161349,3,,,POINT (-0.161349 51.5254084)
7767682678,51.6130827,0.2124678,1,,,POINT (0.2124678 51.6130827)
7767827918,51.3649163,-0.0836493,3,,,POINT (-0.0836493 51.3649163)
7767827919,51.3649988,-0.0840529,1,,,POINT (-0.0840529 51.3649988)
7769316306,51.468195,-0.3000645,1,,,POINT (-0.3000645 51.468195)
7769316307,51.4678843,-0.3002549,3,,,POINT (-0.3002549 51.4678843)
7769316308,51.4680006,-0.3001902,3,,,POINT (-0.3001902 51.4680006)
7769559253,51.4730382,-0.0515753,1,,,POINT (-0.0515753 51.4730382)
7770538259,51.4938004,-0.1968397,1,,,POINT (-0.1968397 51.4938004)
7771926131,51.6718174,-0.0491258,3,,,POINT (-0.0491258 51.6718174)
7771926132,51.6715546,-0.0491098,1,,,POINT (-0.0491098 51.6715546)
7772148323,51.4322102,-0.130578,3,,,POINT (-0.130578 51.4322102)
7772353120,51.549708,-0.0115529,3,,,POINT (-0.0115529 51.549708)
7772353121,51.549959,-0.0087828,2,,,POINT (-0.0087828 51.549959)
7772353128,51.5506398,-0.0109248,3,,,POINT (-0.0109248 51.5506398)
7772353135,51.549899,-0.0106145,3,,,POINT (-0.0106145 51.549899)
7772353138,51.5507761,-0.0101386,3,,,POINT (-0.0101386 51.5507761)
7773220823,51.5697667,-0.1074791,3,,,POINT (-0.1074791 51.5697667)
7773661040,51.6225301,-0.1219985,3,,,POINT (-0.1219985 51.6225301)
7774296796,51.5625434,-0.0823693,2,,,POINT (-0.0823693 51.5625434)
7774296801,51.5627704,-0.0819504,2,,,POINT (-0.0819504 51.5627704)
7774296808,51.562237,-0.0829769,2,,,POINT (-0.0829769 51.562237)
7774296810,51.5623224,-0.0827716,2,,,POINT (-0.0827716 51.5623224)
7774296811,51.5625915,-0.0822922,2,,,POINT (-0.0822922 51.5625915)
7776023559,51.6116609,-0.1089574,3,,,POINT (-0.1089574 51.6116609)
7776257943,51.5374885,-0.087068,1,,,POINT (-0.087068 51.5374885)
7776450207,51.5441919,-0.0848978,1,,,POINT (-0.0848978 51.5441919)
7776618963,51.418891,-0.1774594,3,,,POINT (-0.1774594 51.418891)
7777402082,51.5486162,-0.3992382,3,,,POINT (-0.3992382 51.5486162)
7777402083,51.5478877,-0.3994585,3,,,POINT (-0.3994585 51.5478877)
