osmid,y,x,ref,highway,street_count,geometry
42767307,40.8218553,-73.8188917,,traffic_signals,4,POINT (-73.8188917 40.8218553)
42767311,40.8208786,-73.8168907,,,3,POINT (-73.8168907 40.8208786)
42767315,40.8202861,-73.8153031,,,3,POINT (-73.8153031 40.8202861)
42767320,40.8198265,-73.8138392,,,3,POINT (-73.8138392 40.8198265)
42767352,40.8399812,-73.8778708,,traffic_signals,4,POINT (-73.8778708 40.8399812)
42767385,40.810783,-73.803366,,,1,POINT (-73.803366 40.810783)
42767421,40.809853,-73.854857,,,1,POINT (-73.854857 40.809853)
42767445,40.9082023,-73.8972316,,,1,POINT (-73.8972316 40.9082023)
42767447,40.9083473,-73.8980087,,,3,POINT (-73.8980087 40.9083473)
42767493,40.907571,-73.898245,,,3,POINT (-73.898245 40.907571)
42767496,40.9103136,-73.8976162,,,3,POINT (-73.8976162 40.9103136)
42767502,40.906458,-73.898538,,,4,POINT (-73.898538 40.906458)
42767505,40.906942,-73.898398,,,1,POINT (-73.898398 40.906942)
42767517,40.8107057,-73.805956,,,3,POINT (-73.805956 40.8107057)
42767533,40.811831,-73.803846,,,1,POINT (-73.803846 40.811831)
42767545,40.835573,-73.862292,,,3,POINT (-73.862292 40.835573)
42767640,40.8934575,-73.9100229,,,3,POINT (-73.9100229 40.8934575)
42767642,40.893873,-73.9115331,,,4,POINT (-73.9115331 40.893873)
42767648,40.8584927,-73.8521737,,,3,POINT (-73.8521737 40.8584927)
42767667,40.869426,-73.851824,,,3,POINT (-73.851824 40.869426)
42767686,40.8744555,-73.8521352,,traffic_signals,4,POINT (-73.8521352 40.8744555)
42767711,40.82497,-73.922274,,stop,3,POINT (-73.922274 40.82497)
42767715,40.82564,-73.921739,,,3,POINT (-73.921739 40.82564)
42767794,40.878022,-73.902405,,traffic_signals,3,POINT (-73.902405 40.878022)
42767807,40.8803243,-73.900774,,,3,POINT (-73.900774 40.8803243)
42767823,40.8856688,-73.8951316,,,3,POINT (-73.8951316 40.8856688)
42767829,40.851964,-73.835559,,,3,POINT (-73.835559 40.851964)
42767831,40.851909,-73.834658,,,3,POINT (-73.834658 40.851909)
42767838,40.851737,-73.831961,,,3,POINT (-73.831961 40.851737)
42767842,40.851687,-73.831054,,,4,POINT (-73.831054 40.851687)
42767856,40.853239,-73.848062,,,3,POINT (-73.848062 40.853239)
42767859,40.853219,-73.847608,,,1,POINT (-73.847608 40.853219)
42767884,40.83674,-73.867122,,,3,POINT (-73.867122 40.83674)
42767888,40.840296,-73.8674108,,,3,POINT (-73.8674108 40.840296)
42767900,40.8299329,-73.8659142,,traffic_signals,4,POINT (-73.8659142 40.8299329)
42767939,40.854474,-73.850178,,,3,POINT (-73.850178 40.854474)
42767941,40.855289,-73.848901,,,3,POINT (-73.848901 40.855289)
42767951,40.840431,-73.886729,,,3,POINT (-73.886729 40.840431)
42767978,40.8400318,-73.7837819,,,3,POINT (-73.7837819 40.8400318)
42768000,40.906234,-73.851231,,,3,POINT (-73.851231 40.906234)
42768008,40.8925143,-73.8454255,,,4,POINT (-73.8454255 40.8925143)
42768015,40.8963,-73.846875,,,4,POINT (-73.846875 40.8963)
42768028,40.871641,-73.8357433,,,4,POINT (-73.8357433 40.871641)
42768036,40.8771283,-73.838558,,,3,POINT (-73.838558 40.8771283)
42768046,40.882192,-73.841271,,traffic_signals,3,POINT (-73.841271 40.882192)
42768056,40.8647585,-73.8242172,,traffic_signals,3,POINT (-73.8242172 40.8647585)
42768066,40.8566338,-73.8686415,,,3,POINT (-73.8686415 40.8566338)
42768086,40.8411834,-73.8251964,,,3,POINT (-73.8251964 40.8411834)
42768091,40.84333,-73.8251518,,,3,POINT (-73.8251518 40.84333)
42768096,40.8443111,-73.8250923,,,3,POINT (-73.8250923 40.8443111)
42768106,40.857068,-73.854703,,,3,POINT (-73.854703 40.857068)
42768124,40.86948,-73.854615,,,4,POINT (-73.854615 40.86948)
42768126,40.872605,-73.854543,,,4,POINT (-73.854543 40.872605)
42768136,40.818534,-73.898895,,,3,POINT (-73.898895 40.818534)
42768142,40.82385,-73.898874,,,4,POINT (-73.898874 40.82385)
42768150,40.8280496,-73.8970019,,stop,4,POINT (-73.8970019 40.8280496)
42768159,40.828766,-73.8963937,,,4,POINT (-73.8963937 40.828766)
42768178,40.851047,-73.914873,,,4,POINT (-73.914873 40.851047)
42768192,40.854694,-73.8436733,,,3,POINT (-73.8436733 40.854694)
42768194,40.854437,-73.842054,,,3,POINT (-73.842054 40.854437)
42768202,40.852119,-73.849422,,,4,POINT (-73.849422 40.852119)
42768218,40.8572419,-73.8527349,,,3,POINT (-73.8527349 40.8572419)
42768232,40.869441,-73.852758,,,3,POINT (-73.852758 40.869441)
42768245,40.8584049,-73.853109,,,3,POINT (-73.853109 40.8584049)
42768271,40.807452,-73.909182,,,3,POINT (-73.909182 40.807452)
42768279,40.809272,-73.9085278,,stop,4,POINT (-73.9085278 40.809272)
42768284,40.811399,-73.907764,,,4,POINT (-73.907764 40.811399)
42768288,40.8128587,-73.9072527,,traffic_signals,4,POINT (-73.9072527 40.8128587)
42768295,40.8156521,-73.9062412,,,3,POINT (-73.9062412 40.8156521)
42768306,40.8845166,-73.8888919,,,3,POINT (-73.8888919 40.8845166)
42768313,40.852644,-73.848742,,,3,POINT (-73.848742 40.852644)
42768327,40.8349051,-73.9008769,,,1,POINT (-73.9008769 40.8349051)
42768374,40.8134276,-73.8551319,,,3,POINT (-73.8551319 40.8134276)
42768455,40.883632,-73.885165,,,3,POINT (-73.885165 40.883632)
42768489,40.8119347,-73.9255654,,traffic_signals,3,POINT (-73.9255654 40.8119347)
42768499,40.8128642,-73.9237512,,traffic_signals,3,POINT (-73.9237512 40.8128642)
42768504,40.8137491,-73.9220508,,traffic_signals,3,POINT (-73.9220508 40.8137491)
42768512,40.8150883,-73.9194594,,,3,POINT (-73.9194594 40.8150883)
42768516,40.8155433,-73.9185885,,traffic_signals,3,POINT (-73.9185885 40.8155433)
42768527,40.817581,-73.915528,,traffic_signals,3,POINT (-73.915528 40.817581)
42768531,40.817825,-73.915263,,traffic_signals,3,POINT (-73.915263 40.817825)
42768534,40.818077,-73.914953,,traffic_signals,3,POINT (-73.914953 40.818077)
42768535,40.818956,-73.914031,,traffic_signals,3,POINT (-73.914031 40.818956)
42768536,40.819542,-73.91352,,traffic_signals,3,POINT (-73.91352 40.819542)
42768540,40.821486,-73.912168,,traffic_signals,4,POINT (-73.912168 40.821486)
42768565,40.825996,-73.907931,,,3,POINT (-73.907931 40.825996)
42768572,40.826492,-73.907739,,traffic_signals,3,POINT (-73.907739 40.826492)
42768578,40.827783,-73.907228,,traffic_signals,3,POINT (-73.907228 40.827783)
42768582,40.82828,-73.907031,,traffic_signals,3,POINT (-73.907031 40.82828)
42768584,40.8327485,-73.9050316,,traffic_signals,4,POINT (-73.9050316 40.8327485)
42768599,40.838198,-73.901175,,traffic_signals,4,POINT (-73.901175 40.838198)
42768605,40.84381,-73.897611,,traffic_signals,4,POINT (-73.897611 40.84381)
42768611,40.845362,-73.896837,,traffic_signals,3,POINT (-73.896837 40.845362)
42768613,40.8466664,-73.896184,,traffic_signals,4,POINT (-73.896184 40.8466664)
42768620,40.851404,-73.893426,,traffic_signals,4,POINT (-73.893426 40.851404)
42768626,40.854117,-73.890902,,traffic_signals,3,POINT (-73.890902 40.854117)
42768632,40.8550802,-73.8904511,,traffic_signals,3,POINT (-73.8904511 40.8550802)
42768639,40.857427,-73.891106,,traffic_signals,4,POINT (-73.891106 40.857427)
42768644,40.858385,-73.891111,,traffic_signals,3,POINT (-73.891111 40.858385)
42768708,40.823025,-73.807547,,,4,POINT (-73.807547 40.823025)
42768786,40.903559,-73.844178,,,4,POINT (-73.844178 40.903559)
42768800,40.855428,-73.843874,,,3,POINT (-73.843874 40.855428)
42768801,40.8550301,-73.8413883,,,4,POINT (-73.8413883 40.8550301)
42768811,40.8281334,-73.9063567,,,2,POINT (-73.9063567 40.8281334)
42768816,40.827277,-73.904909,,traffic_signals,3,POINT (-73.904909 40.827277)
42768828,40.831422,-73.918307,,,4,POINT (-73.918307 40.831422)
42768836,40.8297,-73.913124,,traffic_signals,4,POINT (-73.913124 40.8297)
42768864,40.827114,-73.90508,,traffic_signals,3,POINT (-73.90508 40.827114)
42768866,40.82692,-73.904293,,,3,POINT (-73.904293 40.82692)
42768870,40.8265393,-73.90274,,,3,POINT (-73.90274 40.8265393)
42768887,40.821302,-73.880331,,,4,POINT (-73.880331 40.821302)
42768895,40.8242974,-73.8810357,,,1,POINT (-73.8810357 40.8242974)
42768903,40.8295483,-73.8825232,,,3,POINT (-73.8825232 40.8295483)
42768960,40.8242103,-73.8587839,,traffic_signals,4,POINT (-73.8587839 40.8242103)
42768972,40.8305104,-73.8616208,,traffic_signals,4,POINT (-73.8616208 40.8305104)
42768980,40.8336859,-73.8627835,,traffic_signals,3,POINT (-73.8627835 40.8336859)
42768988,40.835531,-73.863156,,traffic_signals,4,POINT (-73.863156 40.835531)
42768995,40.841088,-73.864465,,traffic_signals,5,POINT (-73.864465 40.841088)
