Starting node index,Ending node index,Travel cost from the starting node to the ending node
1772.0,1872.0,0.0032049721153256092
1773.0,1873.0,0.0038680390703839432
1815.0,1816.0,0.005913923587600646
1815.0,1915.0,0.004152049253079318
1816.0,1817.0,0.005321876768582279
1816.0,1916.0,0.004836694161306962
1817.0,1917.0,0.00242784695769826
1819.0,1820.0,0.005637093211918139
1820.0,1821.0,0.0059102089726274535
1821.0,1822.0,0.006050505546640087
1821.0,1921.0,0.0035252568048301965
1822.0,1823.0,0.004817502681894163
1822.0,1922.0,0.002702185286020111
1823.0,1824.0,0.0058830943320628
1823.0,1923.0,0.0042213672216466205
1824.0,1825.0,0.004862894563944206
1824.0,1924.0,0.0036531945390287446
1825.0,1826.0,0.005756630438021825
1825.0,1925.0,0.0038517829637711495
1826.0,1827.0,0.0059718010683509895
1826.0,1926.0,0.0045584196439150985
1827.0,1828.0,0.005186922101796464
1827.0,1927.0,0.004149429358357553
1828.0,1829.0,0.006204508706574373
1828.0,1928.0,0.004217105250047504
1829.0,1830.0,0.004963947824064683
1829.0,1929.0,0.003450141610134609
1830.0,1831.0,0.0038841070028999575
1830.0,1930.0,0.004478924201187298
1831.0,1931.0,0.00411669095390546
1845.0,1846.0,0.005322305840524433
1845.0,1945.0,0.004374959296948562
1846.0,1847.0,0.00533556712637258
1846.0,1946.0,0.0025503591374556214
1847.0,1848.0,0.006658937675029831
1847.0,1947.0,0.0038311003145297985
1848.0,1849.0,0.004366096252944573
1848.0,1948.0,0.003727114461619348
1849.0,1850.0,0.007700314126717202
1849.0,1949.0,0.004187870648667014
1850.0,1851.0,0.004084691230679491
1850.0,1950.0,0.004325394640958869
1851.0,1852.0,0.005593389571629385
1851.0,1951.0,0.0038775619775808616
1852.0,1853.0,0.004472472954639186
1852.0,1952.0,0.003569480977678765
1853.0,1854.0,0.0070969978328811
1853.0,1953.0,0.0030314740259516637
1854.0,1855.0,0.005620702206137603
1854.0,1954.0,0.004763950650462151
1855.0,1856.0,0.007956642963583857
1855.0,1955.0,0.0047918962426166875
1856.0,1956.0,0.0030960639851276253
1870.0,1871.0,0.006438763518723941
1871.0,1872.0,0.006149806515656956
1871.0,1971.0,0.003610206426230778
1872.0,1873.0,0.004333966792673025
1872.0,1972.0,0.004556379442055708
1873.0,1874.0,0.006130810008477555
1873.0,1973.0,0.0025442474800991093
1874.0,1875.0,0.0034445362677648144
1874.0,1974.0,0.002811707047325255
1875.0,1975.0,0.003175622214624242
1915.0,1916.0,0.00669813418572081
1915.0,2015.0,0.002895962059493838
1916.0,1917.0,0.004989672153559549
1916.0,2016.0,0.0049620989762394815
1917.0,1918.0,0.0055144413579241
1917.0,2017.0,0.004606558877294334
1918.0,2018.0,0.002755485075269199
1921.0,1922.0,0.005809199536076408
1921.0,2021.0,0.002545635676992212
1922.0,1923.0,0.0051935490110304825
1922.0,2022.0,0.004892128816780361
1923.0,1924.0,0.005790004825559709
1923.0,2023.0,0.005559780416526648
1924.0,1925.0,0.00569938215950469
1925.0,1926.0,0.004006902475727978
1925.0,2025.0,0.0038090169335436583
1926.0,1927.0,0.007170064605703884
1926.0,2026.0,0.004336442718402879
1927.0,1928.0,0.004793195698070142
1927.0,2027.0,0.005119704093012544
1928.0,1929.0,0.00574830771009554
1928.0,2028.0,0.004763057946321846
1929.0,1930.0,0.00412241151876051
1929.0,2029.0,0.005571106091255942
1930.0,1931.0,0.0066886980048465345
1930.0,2030.0,0.004359187232730005
1931.0,2031.0,0.002555025888323617
1945.0,1946.0,0.005817559711761478
1946.0,1947.0,0.006390082569893464
1947.0,1948.0,0.004467507592605358
1947.0,2047.0,0.0037221677151883297
1948.0,1949.0,0.006687785287368364
1948.0,2048.0,0.004254202275396151
1949.0,1950.0,0.004694803384597859
1949.0,2049.0,0.004780104653659918
1950.0,1951.0,0.006644190089092916
1950.0,2050.0,0.004216987119966197
1951.0,1952.0,0.00434632149063895
1951.0,2051.0,0.005144090483258035
1952.0,1953.0,0.005892542555643443
1952.0,2052.0,0.003961310129234128
1953.0,1954.0,0.005928865254839515
1953.0,2053.0,0.004711876013858589
1954.0,1955.0,0.004676014462125173
1954.0,2054.0,0.003932893241621024
1955.0,1956.0,0.0062979437636390195
1955.0,2055.0,0.003756586588912888
1956.0,1957.0,0.005648538509209476
1956.0,2056.0,0.005570017914687424
1957.0,1958.0,0.004125429909709335
1957.0,2057.0,0.005345394408273295
1958.0,2058.0,0.006167988651095272
1966.0,2066.0,0.0036930944558727988
1971.0,1972.0,0.005647887392632655
1972.0,1973.0,0.005314072978422707
1972.0,2072.0,0.002627391042464039
1973.0,1974.0,0.005878727399701773
1973.0,2073.0,0.0034563445719431683
1974.0,1975.0,0.004530950078080523
1974.0,2074.0,0.0031142192039113176
1975.0,1976.0,0.00606685258762267
1975.0,2075.0,0.002687771777888842
1976.0,1977.0,0.006190138819938792
1976.0,2076.0,0.004299240037497212
1977.0,2077.0,0.0027436574585826194
2011.0,2111.0,0.003055823676196309
2015.0,2016.0,0.008157582424344497
2015.0,2115.0,0.006981239561131883
2016.0,2017.0,0.0034106780850629505
2016.0,2116.0,0.004073879999462459
2017.0,2018.0,0.005021002489542569
2017.0,2117.0,0.004382221925009484
2018.0,2019.0,0.0038743664733819796
2018.0,2118.0,0.004553891522636448
2019.0,2119.0,0.0034572235348576934
2021.0,2022.0,0.004390997518792452
2021.0,2121.0,0.005621890020268487
2022.0,2023.0,0.007143585570986369
2025.0,2026.0,0.004707378144985039
2025.0,2125.0,0.0060531294550805175
2026.0,2027.0,0.004754794737956648
2026.0,2126.0,0.0037708590533147963
2027.0,2028.0,0.006137111535563242
2027.0,2127.0,0.003636244903745693
2028.0,2029.0,0.00483073733605408
2028.0,2128.0,0.003767068090700716
2029.0,2030.0,0.005615887970751221
2029.0,2129.0,0.0039888887725815095
2030.0,2031.0,0.004866752181900423
2030.0,2130.0,0.003892659455948999
2031.0,2032.0,0.008637618510327176
2031.0,2131.0,0.008362355549124862
2032.0,2132.0,0.005343915916252952
2047.0,2048.0,0.002672332174346298
2047.0,2147.0,0.005371203740317212
2048.0,2049.0,0.004538901273432349
2048.0,2148.0,0.004011009940152432
2049.0,2050.0,0.007137675899757842
2049.0,2149.0,0.005730349603646275
2050.0,2051.0,0.004845629817678249
2050.0,2150.0,0.004107215506885391
2051.0,2052.0,0.006688250666648864
2051.0,2151.0,0.005010509583869171
2052.0,2053.0,0.004125954621666026
2052.0,2152.0,0.004662179072066155
2053.0,2054.0,0.006501580457851508
2053.0,2153.0,0.004700580681147981
2054.0,2055.0,0.005152359498335645
2054.0,2154.0,0.0038466849793041915
2055.0,2056.0,0.005903483029535517
2055.0,2155.0,0.0028794482874343434
2056.0,2057.0,0.005610613551122793
2056.0,2156.0,0.003386263167565368
2057.0,2058.0,0.004899016084884864
2057.0,2157.0,0.003767620024629394
2058.0,2059.0,0.005979301546160216
2058.0,2158.0,0.0025980584327504083
2059.0,2060.0,0.004093703830274628
2059.0,2159.0,0.002840831321986589
2060.0,2160.0,0.004300924929597088
2065.0,2066.0,0.005774104053440621
2066.0,2067.0,0.004587435625713123
2067.0,2167.0,0.003779339204151877
2072.0,2073.0,0.004899579811570669
2073.0,2074.0,0.006001605829279084
2074.0,2075.0,0.004975994249392155
2075.0,2076.0,0.005572050793918311
2076.0,2077.0,0.0054066487087582205
2077.0,2078.0,0.006244467699503294
2077.0,2177.0,0.0018932588306947988
2078.0,2079.0,0.0048450015417873275
2078.0,2178.0,0.004578106213275432
2079.0,2080.0,0.00529946160002087
2079.0,2179.0,0.0031447788475540707
2080.0,2180.0,0.0016656698652510878
2110.0,2111.0,0.004020180304413549
2110.0,2210.0,0.003384372037763994
2111.0,2112.0,0.005650845644681636
