grid_index,y,x
2252,40.591258,-73.9637742
2253,40.5917834,-73.9589979
2254,40.5924144,-73.9532603
2255,40.5909551,-73.9468643
2256,40.5915732,-73.9412409
2257,40.5922053,-73.9355016
2258,40.5916363,-73.9302797
2259,40.5916509,-73.9252424
2262,40.5920992,-73.908236
2264,40.5911757,-73.8967907
2278,40.591165,-73.819557
2279,40.5904775,-73.8133688
2280,40.5920345,-73.8098157
2281,40.590674,-73.8030434
2282,40.5908386,-73.7979349
2283,40.5920126,-73.792234
2284,40.5920859,-73.7865634
2285,40.5927264,-73.7800782
2286,40.5928667,-73.7753024
2287,40.5918715,-73.7698896
2288,40.5918065,-73.7648471
2289,40.5926314,-73.7588953
2290,40.593094,-73.7531595
2311,40.5966642,-74.191413
2312,40.5950555,-74.1849722
2313,40.595572,-74.182719
2315,40.596433,-74.168284
2316,40.595575,-74.163602
2317,40.596051,-74.157679
2318,40.596068,-74.150988
2319,40.596072,-74.146241
2320,40.5960728,-74.1418518
2321,40.596335,-74.1337737
2322,40.597241,-74.132813
2325,40.5945114,-74.1121806
2326,40.596268,-74.107591
2327,40.596087,-74.103384
2328,40.595365,-74.097221
2329,40.595507,-74.092036
2330,40.5959012,-74.0857865
2331,40.59572,-74.0800765
2332,40.595387,-74.074538
2333,40.595609,-74.068816
2334,40.5956092,-74.0631302
2345,40.5967285,-74.0031344
2346,40.5956057,-73.9967957
2347,40.595211,-73.992389
2348,40.595671,-73.985061
2349,40.5961933,-73.9803548
2350,40.5960156,-73.975146
2351,40.595256,-73.969228
2352,40.5958699,-73.9636921
2353,40.5964118,-73.9587809
2354,40.595756,-73.9529126
2355,40.595291,-73.946737
2356,40.595809,-73.942032
2357,40.5965451,-73.9353426
2358,40.5962003,-73.9309445
2359,40.5941083,-73.926552
2362,40.5958761,-73.9080923
2363,40.5944759,-73.9055396
2378,40.597526,-73.8197393
2381,40.595261,-73.8027042
2382,40.5955636,-73.7974885
2383,40.5959297,-73.7913826
2384,40.5949701,-73.7862733
2385,40.5953252,-73.7809246
2386,40.5956845,-73.7757225
2387,40.596113,-73.76975
2388,40.5957328,-73.7646285
2389,40.5955662,-73.7583383
2390,40.5952335,-73.7531937
2391,40.5956504,-73.7471281
2392,40.595984,-73.741207
2393,40.5947354,-73.7385671
2410,40.6006866,-74.1950772
2411,40.5982674,-74.1910354
2412,40.6013094,-74.1858322
2413,40.599011,-74.180883
2415,40.599849,-74.167621
2416,40.6004463,-74.1630595
2418,40.5989303,-74.1523852
2419,40.6004159,-74.14494
2420,40.600013,-74.14015
2421,40.599682,-74.135953
2422,40.600203,-74.130051
2423,40.600523,-74.124955
2424,40.599701,-74.119471
2425,40.600135,-74.113023
2426,40.599836,-74.107406
2427,40.5993201,-74.1020882
2428,40.599272,-74.097188
2429,40.5997602,-74.0916399
2430,40.600186,-74.085535
2431,40.5993292,-74.0804052
2432,40.600261,-74.074982
2433,40.5995364,-74.0688473
2434,40.6005121,-74.0637825
2435,40.600626,-74.0586201
2436,40.6017386,-74.0551067
2444,40.599897,-74.007947
2445,40.600213,-74.0028229
2446,40.600696,-73.996365
2447,40.600134,-73.990864
2448,40.599958,-73.985878
2449,40.6009437,-73.9803113
2450,40.5991189,-73.9747117
2451,40.599733,-73.96913
2452,40.6003613,-73.9634547
2453,40.6008874,-73.9586835
2454,40.5992572,-73.9526087
2455,40.599801,-73.947595
2456,40.6001988,-73.941845
2457,40.598924,-73.935804
2458,40.599437,-73.929922
2461,40.599689,-73.9114121
2462,40.5983056,-73.9098775
2463,40.5996725,-73.9039427
2477,40.600601,-73.8243161
2478,40.6001735,-73.8195325
2481,40.5987411,-73.8015973
2482,40.5993627,-73.7967116
2483,40.5985853,-73.7928929
2486,40.5999414,-73.7752582
2487,40.6011456,-73.7686086
2488,40.5997335,-73.7638731
2489,40.600298,-73.758366
2490,40.599999,-73.753115
2491,40.5999135,-73.7475646
2492,40.600213,-73.74184
2493,40.5995314,-73.7383998
2510,40.6023706,-74.1959288
2511,40.6039341,-74.1893246
2512,40.6025518,-74.1858415
2514,40.6035545,-74.1733844
2515,40.6032394,-74.1695327
2516,40.6042982,-74.1634813
2517,40.6041626,-74.1599898
2518,40.605221,-74.154267
2519,40.6048092,-74.1465688
2520,40.60447,-74.140606
2521,40.604131,-74.13609
2522,40.6039666,-74.1297384
2523,40.6043566,-74.1246908
2524,40.603868,-74.119862
2525,40.6039491,-74.1133409
2526,40.6041412,-74.107937
2527,40.604193,-74.102268
2528,40.6037691,-74.0974881
2529,40.604148,-74.091153
2530,40.604087,-74.085206
2531,40.6039843,-74.0814847
2532,40.6034161,-74.0750442
2533,40.6036172,-74.069298
2534,40.603067,-74.062768
2535,40.6028066,-74.057823
2540,40.6051268,-74.0302786
2541,40.6047105,-74.0248726
2542,40.6036773,-74.0190561
2543,40.603428,-74.01398
2544,40.60345,-74.008995
2545,40.6038521,-74.0026327
2546,40.603728,-73.9968
2547,40.604209,-73.991455
2548,40.604044,-73.986644
2549,40.603264,-73.980752
2550,40.6045037,-73.9749045
2551,40.604555,-73.9691018
2552,40.604496,-73.963297
2553,40.6033791,-73.9582113
2554,40.6040388,-73.9522669
2555,40.604551,-73.947512
2556,40.605183,-73.941771
2557,40.603872,-73.9360929
2558,40.6050753,-73.9298715
2560,40.6057679,-73.9181652
2561,40.60446,-73.913409
2562,40.6043982,-73.9090542
2563,40.605654,-73.903984
2577,40.6039849,-73.8227182
2578,40.6037425,-73.8200304
2579,40.6055477,-73.8165554
2587,40.6037524,-73.7697919
2588,40.604635,-73.763592
2589,40.6037994,-73.7583808
2590,40.6042265,-73.7528659
2591,40.6045255,-73.7467982
2592,40.6039077,-73.7417251
