osmid,y,x,street_count,highway,ref,geometry,lat_index,lon_index,grid_index,lat_center,lon_center,distance_to_center
15035527,48.8215991,2.3715571,3,,,POINT (2.3715571 48.8215991),6,76,676,48.8214642365,2.3715666755,0.015012514007467503
4068204149,48.8212681,2.3766975,1,turning_circle,,POINT (2.3766975 48.8212681),6,79,679,48.8214642365,2.3772653765,0.046948352762615046
366603,48.8212048,2.3790467,3,,,POINT (2.3790467 48.8212048),6,80,680,48.8214642365,2.3791649434999997,0.030118912080226164
268401380,48.8222268,2.3146735,3,,,POINT (2.3146735 48.8222268),7,46,746,48.8223244575,2.3145796654999997,0.012849533890784385
25239055,48.8219899,2.3168688,3,motorway_junction,,POINT (2.3168688 48.8219899),7,47,747,48.8223244575,2.3164792325,0.04687577280992211
1037154598,48.822658,2.3226622,4,traffic_signals,,POINT (2.3226622 48.822658),7,50,750,48.8223244575,2.3221779335,0.05130755942924919
1037154606,48.8223979,2.3239111,3,,,POINT (2.3239111 48.8223979),7,51,751,48.8223244575,2.3240775005,0.014666193998840563
251489823,48.822065,2.3253887,4,,,POINT (2.3253887 48.822065),7,52,752,48.8223244575,2.3259770674999998,0.051843723587298635
169279721,48.8222003,2.3277342,3,,,POINT (2.3277342 48.8222003),7,53,753,48.8223244575,2.3278766345,0.017301260108081362
1773530054,48.822257,2.3302992,3,,,POINT (2.3302992 48.822257),7,54,754,48.8223244575,2.3297762015,0.039016726368872184
82409081,48.8222943,2.3349455,2,,,POINT (2.3349455 48.8222943),7,57,757,48.8223244575,2.3354749025,0.03890253681563449
1835216983,48.8221114,2.3420411,3,,,POINT (2.3420411 48.8221114),7,60,760,48.8223244575,2.3411736034999997,0.06778464613846094
3747261251,48.8226283,2.343963,3,,,POINT (2.343963 48.8226283),7,61,761,48.8223244575,2.3430731705,0.07338448937826546
1835212514,48.8223438,2.3449334,3,,,POINT (2.3449334 48.8223438),7,62,762,48.8223244575,2.3449727375,0.0035944085523934494
6271862394,48.8222826,2.3470556,3,traffic_signals,,POINT (2.3470556 48.8222826),7,63,763,48.8223244575,2.3468723044999997,0.014203376246445125
100291522,48.8221798,2.3493502,3,traffic_signals,,POINT (2.3493502 48.8221798),7,64,764,48.8223244575,2.3487718715,0.04529217644215382
1835212508,48.8221343,2.3500918,3,,,POINT (2.3500918 48.8221343),7,65,765,48.8223244575,2.3506714385,0.047411731180445116
100287974,48.8221517,2.3526895,4,traffic_signals,,POINT (2.3526895 48.8221517),7,66,766,48.8223244575,2.3525710054999998,0.02107773765503198
100289808,48.8222355,2.3540576,3,,,POINT (2.3540576 48.8222355),7,67,767,48.8223244575,2.3544705725,0.031810870586278524
168363583,48.8221017,2.3564961,4,,,POINT (2.3564961 48.8221017),7,68,768,48.8223244575,2.3563701394999996,0.026430413694249102
168358483,48.8222051,2.3585181,4,traffic_signals,,POINT (2.3585181 48.8222051),7,69,769,48.8223244575,2.3582697065,0.022513073269780165
168357229,48.8225121,2.3605706,3,,,POINT (2.3605706 48.8225121),7,70,770,48.8223244575,2.3601692735,0.036036064812502024
5912562002,48.8226114,2.3627126,3,,,POINT (2.3627126 48.8226114),7,71,771,48.8223244575,2.3620688404999997,0.05691429584230701
1759468552,48.8220469,2.3631605,3,traffic_signals,,POINT (2.3631605 48.8220469),7,72,772,48.8223244575,2.3639684075,0.06671529637078318
382019,48.8226528,2.3670649,3,,,POINT (2.3670649 48.8226528),7,74,774,48.8223244575,2.3677675414999997,0.0630801128599121
15035522,48.8222851,2.37165,4,,,POINT (2.37165 48.8222851),7,76,776,48.8223244575,2.3715666755,0.0075076701287549365
2056770248,48.8224854,2.3729845,3,,,POINT (2.3729845 48.8224854),7,77,777,48.8223244575,2.3734662424999997,0.039549098540465344
15035509,48.8223218,2.3758254,3,traffic_signals,,POINT (2.3758254 48.8223218),7,78,778,48.8223244575,2.3753658095,0.03364806692703452
9659338682,48.8227137,2.3773664,3,,,POINT (2.3773664 48.8227137),7,79,779,48.8223244575,2.3772653765,0.043909148200281536
276973213,48.823469,2.3090903,3,,,POINT (2.3090903 48.823469),8,43,843,48.8231846785,2.3088809645,0.03513370494892871
164348857,48.8233373,2.3111348,3,,,POINT (2.3111348 48.8233373),8,44,844,48.8231846785,2.3107805315,0.030994557713274692
975538950,48.8228,2.3121632,3,,,POINT (2.3121632 48.8228),8,45,845,48.8231846785,2.3126800985,0.057110791096435604
6867079927,48.8236134,2.3172033,3,,,POINT (2.3172033 48.8236134),8,47,847,48.8231846785,2.3164792325,0.07129125554078548
