u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,bridge,maxspeed,tunnel,access,width,junction
2705634274,1169595962,0,598020618,True,,金科路,secondary,False,14.08,"LINESTRING (113.8723684 22.5517853, 113.8722763 22.5518791)",,,,,,,
2705634274,4729140765,0,264914152,True,,海秀路,secondary,False,70.245,"LINESTRING (113.8723684 22.5517853, 113.8724719 22.5518239, 113.8727573 22.5519304, 113.873003 22.5520211)",,,,,,,
2705634275,1169593081,0,456394357,True,,海天路,secondary,False,12.537,"LINESTRING (113.8768225 22.5506345, 113.8767009 22.5506245)",,,,,,,
2705634275,5241143591,0,264914153,True,,宝兴路,secondary,False,36.856,"LINESTRING (113.8768225 22.5506345, 113.8768255 22.5507042, 113.8768366 22.5509657)",,,,,,,
2705634276,2471015803,0,239302780,False,,,residential,True,24.782,"LINESTRING (113.8850451 22.5513237, 113.8850031 22.5512472, 113.884936 22.5511249)",,,,,,,
2705634276,4729141238,0,1207759058,True,,海秀路,secondary,False,83.473,"LINESTRING (113.8850451 22.5513237, 113.8854231 22.5511481, 113.8857646 22.5509747)",,,,,,,
2705634277,2705634291,0,1207759058,True,,海秀路,secondary,False,11.311,"LINESTRING (113.8805018 22.5526387, 113.8806113 22.5526277)",,,,,,,
2705634277,4729141204,0,237907186,True,,宝华路,secondary,False,49.274,"LINESTRING (113.8805018 22.5526387, 113.8804981 22.5525329, 113.8804863 22.5521958)",,,,,,,
2705634278,2705634292,0,264914153,True,,宝兴路,secondary,False,11.919,"LINESTRING (113.8769033 22.552758, 113.876908 22.5528651)",,,,,,,
2705634278,4729141160,0,1238652920,True,,海秀路,secondary,False,51.099000000000004,"LINESTRING (113.8769033 22.552758, 113.8770013 22.5527562, 113.8774008 22.5527491)",,,,,,,
2705634281,2705634286,0,743785549,True,,,primary_link,False,71.557,"LINESTRING (113.8883408 22.5492761, 113.8883949 22.5491805, 113.8884302 22.549132, 113.888457 22.5490901, 113.8884722 22.5490578, 113.8884821 22.5490308, 113.8884911 22.5489914, 113.8884935 22.5489643, 113.8884931 22.5489263, 113.8884886 22.548889, 113.8884715 22.5488324, 113.8884081 22.5486802)",,,,,,,
2705634281,6961382193,0,780057624,True,,海秀路,secondary,False,53.834,"LINESTRING (113.8883408 22.5492761, 113.888603 22.5490662, 113.8886469 22.5490311, 113.8887348 22.5489568)",,,,,,,
2705634282,2705634278,0,1238652920,True,,海秀路,secondary,False,12.2,"LINESTRING (113.8767845 22.5527585, 113.8769033 22.552758)",,,,,,,
2705634282,4729141156,0,563883372,True,,宝兴路,secondary,False,46.918,"LINESTRING (113.8767845 22.5527585, 113.8767816 22.5526578, 113.8767725 22.5523367)",,,,,,,
2705634286,2471015824,0,1184229733,True,,新安西路,primary,False,45.714,"LINESTRING (113.8884081 22.5486802, 113.8880879 22.5483946)",,,,,,,
2705634287,2705634274,0,264914152,True,,海秀路,secondary,False,12.466,"LINESTRING (113.8722555 22.5517441, 113.8723684 22.5517853)",,,,,,,
2705634287,4729140773,0,263505856,True,,金科路,secondary,False,54.866,"LINESTRING (113.8722555 22.5517441, 113.8723498 22.5516503, 113.8726189 22.5513824)",,,,,,,
2705634291,2696750307,0,239061378,True,,宝华路,secondary,False,11.922,"LINESTRING (113.8806113 22.5526277, 113.8806167 22.5527348)",,,,,,,
2705634291,4729141219,0,1207759058,True,,海秀路,secondary,False,54.808,"LINESTRING (113.8806113 22.5526277, 113.8807128 22.5526142, 113.8807929 22.5526035, 113.8811373 22.5525447)",,,,,,,
2705634292,1169609372,0,1240685346,True,,海秀路,secondary,False,12.261,"LINESTRING (113.876908 22.5528651, 113.8767886 22.5528646)",,,,,,,
2705634292,4729141165,0,264914153,True,,宝兴路,secondary,False,66.577,"LINESTRING (113.876908 22.5528651, 113.8769113 22.5529565, 113.8769297 22.5534635)",,,,,,,
2705634298,2471015845,0,1206907380,True,,海秀路,secondary,False,160.56199999999998,"LINESTRING (113.8885213 22.5493065, 113.8881639 22.5495679, 113.8877006 22.5499007, 113.8872896 22.5501959)",,,,,,,
2705634301,2696866140,0,563883384,True,,甲岸路,secondary,False,12.689,"LINESTRING (113.8862944 22.5506919, 113.8863716 22.550781)",,,,,,,
2705634301,4729141248,0,1207759058,True,,海秀路,secondary,False,44.205,"LINESTRING (113.8862944 22.5506919, 113.8863878 22.5506387, 113.8866609 22.5504834)",,,,,,,
2705634304,8220458742,0,883893834,False,,,secondary_link,True,12.815,"LINESTRING (113.8767686 22.5491427, 113.876644 22.5491491)",,,,,,,
2705634304,5241143599,0,264914153,True,,宝兴路,secondary,False,108.47500000000001,"LINESTRING (113.8767686 22.5491427, 113.8767865 22.549542, 113.8768028 22.5501177)",,,,,,,
2705634306,2705634301,0,1207759058,True,,海秀路,secondary,False,12.756,"LINESTRING (113.8861882 22.5507514, 113.8862944 22.5506919)",,,,,,,
2705634306,4729141242,0,237904509,True,,甲岸路,secondary,False,42.341,"LINESTRING (113.8861882 22.5507514, 113.8861303 22.550674, 113.8860999 22.5506332, 113.8859655 22.5504311)",,,,,,,
