osmid,y,x,street_count,ref,highway,geometry
2747844664,22.6734668,113.9922,3,,,POINT (113.9922 22.6734668)
2747844689,22.6740114,113.9934869,4,,,POINT (113.9934869 22.6740114)
2747844724,22.6521437,114.034767,3,,,POINT (114.034767 22.6521437)
2747844743,22.6735565,113.9922352,3,,,POINT (113.9922352 22.6735565)
2747844769,22.6828808,113.9933017,4,,,POINT (113.9933017 22.6828808)
2747844823,22.6736782,113.9859165,3,,,POINT (113.9859165 22.6736782)
2747844831,22.6829832,113.9932544,4,,,POINT (113.9932544 22.6829832)
2747853688,22.6853766,113.9888162,4,,,POINT (113.9888162 22.6853766)
2747853689,22.686531,113.9919345,4,,,POINT (113.9919345 22.686531)
2747853690,22.6804386,113.9749825,1,,,POINT (113.9749825 22.6804386)
2747853692,22.6852543,113.9888705,4,,,POINT (113.9888705 22.6852543)
2747853704,22.6830001,113.9774213,3,,,POINT (113.9774213 22.6830001)
2747853710,22.6823257,113.9789939,3,,,POINT (113.9789939 22.6823257)
2747853713,22.6832043,113.9779615,3,,,POINT (113.9779615 22.6832043)
2747853722,22.6815248,113.9753403,3,,,POINT (113.9753403 22.6815248)
2747853724,22.6820391,113.9763134,3,,,POINT (113.9763134 22.6820391)
2747853727,22.6813214,113.9781709,1,,,POINT (113.9781709 22.6813214)
2747853734,22.6815437,113.9786891,1,,,POINT (113.9786891 22.6815437)
2747853746,22.6808341,113.9757384,4,,,POINT (113.9757384 22.6808341)
2747853752,22.6852945,113.9890523,4,,,POINT (113.9890523 22.6852945)
2747853755,22.6808002,113.9770425,1,,,POINT (113.9770425 22.6808002)
2747853766,22.6813603,113.9767323,4,,,POINT (113.9767323 22.6813603)
2747853770,22.6802454,113.9760831,1,,,POINT (113.9760831 22.6802454)
2747853772,22.6834196,113.9784824,3,,,POINT (113.9784824 22.6834196)
2747853773,22.6820988,113.9784504,4,,,POINT (113.9784504 22.6820988)
2749880981,22.6463067,113.9250232,4,,,POINT (113.9250232 22.6463067)
2749881007,22.6459449,113.9245776,1,,,POINT (113.9245776 22.6459449)
