Location,OuterIters,Converged,StopReason,TimeTotal_s,TimePermutation_s,TimeFitInit_s,TimeFitLoop_s,TimeFitTotal_s,PermFrac_pct,FitFrac_pct,SwapEvals,SwapAccepts,FinalLoss
61,6,1,no_improving_swap,7.390027,0.3202638,0.5299112,3.3043086,3.8342198,4.33372976851099,51.8837048903881,1260,110,2411.64517687235
62,7,1,no_improving_swap,8.5844154,0.3864159,0.5395659,3.8449758,4.3845417,4.50136534632283,51.0756003256786,1470,123,2274.38809075457
63,8,1,no_improving_swap,9.789704,0.4493891,0.6056395,4.3862237,4.9918632,4.59042581879902,50.9909513096617,1680,117,2169.85442239233
64,7,1,no_improving_swap,8.444075,0.3823908,0.5442214,3.7416893,4.2859107,4.52851022758561,50.7564262515432,1470,123,2290.46998682387
65,8,1,no_improving_swap,10.4816105,0.5032281,0.5484453,4.6696439,5.2180892,4.80105705129951,49.7832771023117,1680,124,2168.20099999351
66,8,1,no_improving_swap,10.213265,0.4432896,0.6058898,4.6298616,5.2357514,4.34033191148962,51.2642274532189,1680,127,2132.16543511715
67,8,1,no_improving_swap,10.0302366,0.4450106,0.562766,4.5086993,5.0714653,4.43669095502692,50.5617713943059,1680,118,2236.31822473502
68,12,1,no_improving_swap,15.1698209,0.6881943,0.5749543,7.0487729,7.6237272,4.53660135170086,50.2558813993644,2520,104,2191.90969997338
69,9,1,no_improving_swap,11.5050214,0.5163917,0.5911513,5.2172291,5.8083804,4.48840277689531,50.485611439193,1890,102,2187.94023266324
70,9,1,no_improving_swap,11.3847759,0.5329876,0.5549731,5.1146835,5.6696566,4.68158183069726,49.8003355516203,1890,95,2234.57790189488
71,4,1,no_improving_swap,5.4631313,0.2391125,0.5542263,2.3675808,2.9218071,4.37683970729387,53.4822785606489,840,102,3029.02892777004
72,11,1,no_improving_swap,13.7673491,0.6210726,0.5498523,6.3440542,6.8939065,4.51119961794243,50.0743204078409,2310,115,2236.12205239759
73,6,1,no_improving_swap,7.8500264,0.3475476,0.579808,3.4704053,4.0502133,4.42734307237489,51.5949003687427,1260,121,2329.46603881857
