Location,OuterIters,Converged,StopReason,TimeTotal_s,TimePermSwap_s,TimeFitInit_s,TimeFitLoop_s,TimeFitTotal_s,PermFrac_pct,FitFrac_pct,SwapEvals,SwapAccepts,FinalLoss
113,10,0,max_iter_reached,32.1240849,0.6040916,1.421837,15.039477,16.461314,1.88049434522569,51.2429040430036,2100,109,3938.9613963608
114,5,1,no_improving_swap,16.2362383,0.2923792,1.607361,7.0811221,8.6884831,1.80078165026686,53.512906989053,1050,129,3999.39287654037
115,9,1,no_improving_swap,28.0157375,0.526324,1.5954368,12.9884338,14.5838706,1.8786726567523,52.0559938855795,1890,160,3095.70806082355
116,9,1,no_improving_swap,27.9358983,0.5388711,1.4238082,12.9066351,14.3304433,1.92895569067847,51.2975926032777,1890,151,2155.5529106735
117,10,1,no_improving_swap,31.0139842,0.6134524,1.425917,14.6037605,16.0296775,1.97798643361661,51.6853216814368,2100,146,2512.8266363907
118,9,1,no_improving_swap,27.8955947,0.5516557,1.4608815,12.8934257,14.3543072,1.9775728244288,51.4572546467346,1890,147,2419.50647103724
119,10,0,max_iter_reached,30.9820169,0.6033518,1.3981666,14.5993506,15.9975172,1.94742583075668,51.6348475686229,2100,129,2877.07836782634
120,10,0,max_iter_reached,30.6948723,0.6006442,1.3960758,14.3242503,15.7203261,1.95682260583961,51.2148281522579,2100,147,2421.3170132601
121,10,1,no_improving_swap,44.8824855,0.8863071,2.0038979,20.8090033,22.8129012,1.97472820439055,50.8280701165714,2100,135,2032.86980265856
122,10,1,no_improving_swap,31.4682144,0.6222023,1.9429351,14.314146,16.2570811,1.97724056437088,51.6619115827557,2100,137,3117.35757573622
123,10,0,max_iter_reached,31.1824505,0.6052507,1.4631408,14.5423115,16.0054523,1.9409978699397,51.3283980038708,2100,142,1990.16540507834
124,10,0,max_iter_reached,30.9758355,0.5858302,1.5429355,14.2700163,15.8129518,1.89124906735768,51.0493148764301,2100,143,2345.86610421494
125,10,0,max_iter_reached,32.4010871,0.6021075,1.505318,15.1996247,16.7049427,1.858294131125,51.556735267688,2100,159,2291.40462951961
126,10,0,max_iter_reached,32.2940905,0.6228137,1.5250977,14.826572,16.3516697,1.92856863394249,50.6336281555909,2100,165,3678.32408676319
127,10,0,max_iter_reached,31.4332448,0.5999897,1.4276306,14.6065806,16.0342112,1.90877430509497,51.0103595795493,2100,129,2655.9439607797
128,6,1,no_improving_swap,19.6048332,0.3563909,1.4393022,9.0476639,10.4869661,1.81787264581267,53.4917384555967,1260,177,2949.87481164472
129,9,1,no_improving_swap,28.495786,0.5389395,1.4922872,13.0085827,14.5008699,1.8912954357532,50.8877695109024,1890,139,3725.46880612993
130,9,1,no_improving_swap,28.4129573,0.5305815,1.4272434,13.274134,14.7013774,1.86739273352584,51.7418065454243,1890,153,2484.31712518433
131,10,0,max_iter_reached,31.5234051,0.6080941,1.4075162,14.5867115,15.9942277,1.92902415862428,50.7376270084478,2100,131,2022.65924457928
132,10,0,max_iter_reached,32.4632884,0.6098771,1.3995005,15.3359718,16.7354723,1.87866704224579,51.5519934203585,2100,115,3089.24038135083
133,9,1,no_improving_swap,28.1484227,0.5437973,1.4114002,12.9868862,14.3982864,1.9318926172016,51.1513080269325,1890,122,2654.80856314242
134,10,1,no_improving_swap,31.8153497,0.5922727,1.7019374,14.8419452,16.5438826,1.86159418514894,51.9996880625203,2100,131,2825.818748521
135,9,1,no_improving_swap,28.4150611,0.5417412,1.5806336,13.1269963,14.7076299,1.90652836569125,51.7599798509671,1890,134,3027.77339100775
136,10,1,no_improving_swap,31.2234668,0.6018818,1.4052281,14.6510441,16.0562722,1.9276584623204,51.4237329981564,2100,174,3096.20689375408
137,10,0,max_iter_reached,30.7167585,0.5944657,1.4136035,14.3876227,15.8012262,1.93531391015754,51.4417112079063,2100,154,3392.19583279189
138,10,0,max_iter_reached,30.7964578,0.5912181,1.4086403,14.2771569,15.6857972,1.91976007058838,50.9337707013824,2100,124,2519.11090685361
139,10,1,no_improving_swap,30.6484528,0.5914397,1.4411346,14.2834721,15.7246067,1.92975385693858,51.3063638240166,2100,101,1983.93978368626
140,10,0,max_iter_reached,31.5813939,0.5965075,1.4551337,14.6410226,16.0961563,1.88879408517811,50.9672130082897,2100,191,2404.88049142994
141,10,0,max_iter_reached,31.0891706,0.5901801,1.5217345,14.7088675,16.230602,1.89834623635794,52.2066098476104,2100,125,3703.10939747577
142,8,1,no_improving_swap,24.9091564,0.4769528,1.4913161,11.3436565,12.8349726,1.91476898029353,51.5271267878024,1680,119,2866.88582558823
143,10,0,max_iter_reached,30.635265,0.5900944,1.4042026,14.4044302,15.8086328,1.92619322862068,51.6027290770947,2100,161,2906.91839505725
144,8,1,no_improving_swap,25.243398,0.4766708,1.3896923,11.6192787,13.008971,1.8882988732341,51.5341516225351,1680,146,3477.39649077591
145,10,0,max_iter_reached,30.7278639,0.6033597,1.432868,14.3720143,15.8048823,1.96355887920995,51.435017908941,2100,216,3267.1100332803
146,10,0,max_iter_reached,30.7752207,0.5954691,1.3947146,14.2787596,15.6734742,1.93489790310423,50.9288766855212,2100,155,3099.07212687077
147,10,1,no_improving_swap,30.7433158,0.5903242,1.408842,14.4247352,15.8335772,1.92017088800812,51.5025031880263,2100,132,2497.70894663452
148,10,0,max_iter_reached,30.7279332,0.6011408,1.4253689,14.2456403,15.6710092,1.95633333386705,50.999229586974,2100,127,2471.98931692215
149,10,0,max_iter_reached,30.9212145,0.6105538,1.4514725,14.4449642,15.8964367,1.9745466336712,51.4094836087373,2100,161,2207.18432577196
150,8,1,no_improving_swap,25.3312641,0.4864103,1.6163435,11.425319,13.0416625,1.92019750013186,51.4844519741121,1680,112,2696.16793182825
151,7,1,no_improving_swap,22.0945391,0.4186856,1.4194229,10.2530689,11.6724918,1.89497322440186,52.8297591869658,1470,142,2381.56729299023
152,10,1,no_improving_swap,30.9399383,0.5974539,1.465246,14.2374975,15.7027435,1.93101193094493,50.7523426444583,2100,155,2054.30551360286
153,10,0,max_iter_reached,30.780624,0.6010944,1.4747909,14.4260604,15.9008513,1.95283370473581,51.6586385643124,2100,139,3123.68730548078
154,10,0,max_iter_reached,30.7436748,0.6348552,1.4691787,14.317925,15.7871037,2.06499452043384,51.3507373555747,2100,158,2405.9637674994
155,8,1,no_improving_swap,24.8322873,0.4736666,1.4515506,11.406353,12.8579036,1.90746262830166,51.7789740617249,1680,85,3171.99913198708
156,5,1,no_improving_swap,16.1500042,0.311675,1.5343593,7.1769253,8.7112846,1.92987565910354,53.9398286967628,1050,76,3062.83309872329
157,9,1,no_improving_swap,28.083182,0.5344532,1.4114616,13.0445358,14.4559974,1.90310770339344,51.4756390497345,1890,141,2880.76967549304
158,10,0,max_iter_reached,30.7635143,0.5941011,1.4471491,14.5401169,15.987266,1.93118736112668,51.9682694379296,2100,154,3191.54751955996
159,10,0,max_iter_reached,30.6885746,0.6161318,1.4166094,14.2824193,15.6990287,2.00769116203918,51.1559396440654,2100,135,1893.27828137479
160,9,1,no_improving_swap,28.0789827,0.5242406,1.4220888,13.0544528,14.4765416,1.86702134333378,51.5565031492398,1890,96,2765.18110982027
161,10,0,max_iter_reached,30.7505442,0.5919905,1.4097522,14.3306958,15.740448,1.92513828747135,51.1875428858264,2100,189,3596.04978485184
162,10,1,no_improving_swap,30.8024685,0.5899012,1.5511593,14.2832547,15.834414,1.91511014774676,51.4063150490682,2100,121,2486.24653437224
163,10,0,max_iter_reached,31.1254579,0.5954946,1.4785132,14.2693499,15.7478631,1.91320751621778,50.5947997635723,2100,182,3478.74773714718
164,6,1,no_improving_swap,19.0715676,0.3556849,1.4295608,8.6482785,10.0778393,1.86500086128211,52.8422178573302,1260,126,3671.64549593422
165,10,0,max_iter_reached,30.9678433,0.5995271,1.3994369,14.3291883,15.7286252,1.93596659022102,50.7901859604153,2100,158,2685.34978533846
166,10,0,max_iter_reached,30.9208682,0.6017704,1.4112077,14.5570615,15.9682692,1.94616268892476,51.6423701194781,2100,121,2517.86195741556
