Location,OuterIters,Converged,StopReason,TimeTotal_s,TimeSwap_s,TimeFitInit_s,TimeFitLoop_s,TimeFitAll_s,SwapFrac_pct,FitFrac_pct,SwapEvals,SwapAccepts
62,13,1,no_improving_swap,0.6662781,0.0567284,0.02341,0.2967421,0.3201521,8.51422251459263,48.0508214212654,2730,141
63,8,1,no_improving_swap,0.3870873,0.0327536,0.0227277,0.1674626,0.1901903,8.46155376319502,49.1336967138937,1680,60
64,12,1,no_improving_swap,0.5770684,0.0478076,0.0228905,0.2512187,0.2741092,8.28456384026573,47.5002963253576,2520,116
65,14,1,no_improving_swap,0.7620911,0.0585367,0.0234018,0.3468526,0.3702544,7.68106332694346,48.5840078699253,2940,156
66,7,1,no_improving_swap,0.3557701,0.0299215,0.0224743,0.1498813,0.1723556,8.41034701904404,48.4457800135537,1470,110
67,10,1,no_improving_swap,0.4904439,0.0386938,0.0202024,0.2200681,0.2402705,7.88954659238294,48.9904146019555,2100,213
68,19,1,no_improving_swap,0.9890818,0.0859715,0.0219257,0.4377456,0.4596713,8.69205155731306,46.4745484144992,3990,253
69,16,1,no_improving_swap,0.8024204,0.0667745,0.0256457,0.347491,0.3731367,8.32163539212114,46.5013975217978,3360,163
70,11,1,no_improving_swap,0.5651963,0.0502676,0.0231887,0.2397174,0.2629061,8.89383033823824,46.5158919122436,2310,114
71,5,1,no_improving_swap,0.2582837,0.0191736,0.0221434,0.1087024,0.1308458,7.42346497281865,50.6597202998099,1050,85
72,8,1,no_improving_swap,0.4286263,0.034288,0.0226797,0.1870871,0.2097668,7.99950912951445,48.9393208022933,1680,109
73,9,1,no_improving_swap,0.4393287,0.0342543,0.0255901,0.1916347,0.2172248,7.79696386782835,49.4447096217479,1890,143
74,7,1,no_improving_swap,0.3503862,0.0313394,0.0243661,0.1450354,0.1694015,8.94424495028629,48.347081020885,1470,107
75,9,1,no_improving_swap,0.4433704,0.0365433,0.0232082,0.1985516,0.2217598,8.24216050507657,50.0168256608921,1890,146
76,13,1,no_improving_swap,0.5696197,0.0470802,0.0223522,0.2474733,0.2698255,8.26519869309295,47.3694115565174,2730,155
77,9,1,no_improving_swap,0.4474538,0.0376709,0.0233912,0.19189,0.2152812,8.4189473863,48.1124978712886,1890,219
78,11,1,no_improving_swap,0.5614598,0.0449935,0.0211381,0.2538718,0.2750099,8.01366366746115,48.9812271510801,2310,90
79,7,1,no_improving_swap,0.4073133,0.0320421,0.0302638,0.1618854,0.1921492,7.86669622622193,47.1747914934278,1470,80
80,3,1,no_improving_swap,0.1690964,0.0109138,0.0219129,0.0701688,0.0920817,6.45418826184354,54.4551510262785,630,70
81,8,1,no_improving_swap,0.4167157,0.0360401,0.0242006,0.1758742,0.2000748,8.64860623201862,48.012301912311,1680,111
82,12,1,no_improving_swap,0.7566436,0.0603555,0.0322276,0.3361662,0.3683938,7.97674096496686,48.6878895162795,2520,119
83,13,1,no_improving_swap,0.5948294,0.0464407,0.0313432,0.265314,0.2966572,7.80739822207846,49.8726525622305,2730,130
84,16,1,no_improving_swap,0.8076173,0.0688597,0.0203648,0.3570061,0.3773709,8.52627847372759,46.7264507582985,3360,181
85,10,1,no_improving_swap,0.465209,0.0386201,0.0240352,0.2033706,0.2274058,8.30166656277071,48.8825022731719,2100,153
86,5,1,no_improving_swap,0.2467102,0.0201627,0.0248253,0.1006105,0.1254358,8.17262520965894,50.8433781821749,1050,62
87,12,1,no_improving_swap,0.6565993,0.0537324,0.029023,0.2770641,0.3060871,8.18343851417447,46.6170311177609,2520,127
88,17,1,no_improving_swap,0.8806987,0.0761222,0.0265984,0.3961935,0.4227919,8.64338734688719,48.0064180860038,3570,168
89,8,1,no_improving_swap,0.3723015,0.0298752,0.0206186,0.1603005,0.1809191,8.02446404325527,48.5947813801449,1680,116
90,20,0,max_iter_reached,0.9320117,0.0780538,0.021496,0.419001,0.440497,8.37476611076878,47.2630332859555,4200,167
91,9,1,no_improving_swap,0.490484,0.0398867,0.0231689,0.2205921,0.243761,8.13211032368029,49.6980533513835,1890,140
92,12,1,no_improving_swap,0.545309,0.0443324,0.0238296,0.2360934,0.259923,8.12977596188583,47.6652686825268,2520,130
93,6,1,no_improving_swap,0.4316941,0.0259796,0.0239728,0.2061702,0.230143,6.01805769409403,53.3115926300591,1260,125
94,17,1,no_improving_swap,0.8433573,0.0730956,0.0271758,0.3771727,0.4043485,8.66721613721729,47.9450999001254,3570,132
95,14,1,no_improving_swap,0.6800663,0.0562119,0.0261585,0.2978134,0.3239719,8.26564998147975,47.6382817381188,2940,149
