grid_index,y,x
2719,22.5669665,113.9248511
2720,22.5661821,113.9317428
2721,22.565839,113.9392211
2722,22.5651582,113.9485973
2723,22.565113,113.9583951
2724,22.5659435,113.9680641
2725,22.5663428,113.9742932
2726,22.5651793,113.982838
2727,22.5653416,113.9880001
2728,22.5655283,114.0034128
2729,22.5666655,114.0095432
2730,22.565885,114.013708
2731,22.5677493,114.0260555
2732,22.5671456,114.0337351
2733,22.5667603,114.0412388
2734,22.5672766,114.0510343
2735,22.5667452,114.0591339
2736,22.5667456,114.0676732
2738,22.5673483,114.0860755
2739,22.5669417,114.0932375
2740,22.5667181,114.101519
2741,22.5673913,114.1095702
2742,22.5664165,114.1179085
2743,22.5673511,114.125089
2744,22.5665842,114.1357722
2745,22.5662748,114.1463918
2746,22.5684258,114.1502042
2747,22.5667821,114.1600907
2748,22.5668045,114.1678129
2749,22.5670406,114.1774568
2755,22.5674517,114.2262584
2756,22.5656806,114.2365359
2757,22.5672253,114.2451545
2760,22.5682111,114.2737358
2761,22.5671268,114.2782373
2762,22.567355,114.2872281
2783,22.5680434,114.4648285
2784,22.5653147,114.4718046
2785,22.5666736,114.4830388
2786,22.5668389,114.4901276
2787,22.5684692,114.4953707
2809,22.5699754,113.8435243
2810,22.569379,113.8482516
2811,22.5707183,113.8564013
2812,22.5705916,113.8646355
2813,22.5701252,113.873134
2814,22.5708527,113.8821986
2815,22.5701455,113.8900789
2816,22.5701453,113.8971305
2817,22.5714566,113.9066973
2818,22.5699031,113.9147438
2819,22.5716007,113.9243673
2820,22.57133,113.9337254
2821,22.5713421,113.9390058
2822,22.5701321,113.9495805
2823,22.5711001,113.9586094
2824,22.571721,113.9645034
2827,22.5704868,113.9922462
2831,22.5714089,114.028709
2832,22.5698052,114.0337864
2833,22.5705632,114.0422816
2834,22.5706369,114.0505899
2835,22.5708195,114.0585357
2836,22.5709588,114.0674002
2837,22.5718138,114.0757428
2838,22.5704336,114.0847412
2839,22.5702997,114.0931725
2840,22.5711152,114.1007197
2841,22.5697593,114.1103827
2842,22.5708541,114.1180925
2843,22.571182,114.1276208
2844,22.5704026,114.1350682
2845,22.568855,114.1405887
2846,22.5689725,114.1546667
2847,22.5696296,114.16128
2848,22.5706028,114.1688956
2849,22.5697038,114.175894
2850,22.5709877,114.1898016
2851,22.5696945,114.1937169
2855,22.569589,114.2281838
2856,22.5701978,114.2363918
2857,22.5701607,114.2456894
2858,22.5708641,114.255491
2859,22.5706279,114.2587116
2860,22.5698443,114.272222
2861,22.5709147,114.2804344
2881,22.5719357,114.444833
2882,22.5711802,114.4587396
2883,22.571815,114.4658432
2885,22.5689843,114.4824607
2886,22.56969,114.4886671
2887,22.5688415,114.5003643
2909,22.5761612,113.840329
2910,22.5744171,113.8480536
2911,22.5741322,113.8561648
2912,22.5744522,113.8651304
2913,22.5743526,113.87307
2914,22.574523,113.8813102
2915,22.5746974,113.8912019
2916,22.5745798,113.8965912
2917,22.5738911,113.9066878
2918,22.5748104,113.9150493
2919,22.5738961,113.9241145
2920,22.5756156,113.9327095
2921,22.5751162,113.9413342
2922,22.5750817,113.9496182
2923,22.5735375,113.9586
2926,22.5754677,113.9798055
2932,22.5758632,114.0320459
2933,22.5736334,114.0415097
2934,22.5730818,114.0523121
2935,22.574215,114.0584619
2936,22.5750824,114.066691
2937,22.5733717,114.0759208
2938,22.5737955,114.083539
2939,22.5735225,114.0934735
2940,22.573438,114.1016593
2941,22.5754873,114.1086721
2942,22.5746565,114.1183312
2943,22.5744236,114.1272744
2944,22.5741846,114.1349
2948,22.5729477,114.1699075
2952,22.5755871,114.202806
2955,22.5742802,114.2311052
2957,22.5761892,114.2466277
2958,22.5734569,114.2534072
2960,22.5746335,114.2712277
2961,22.57576,114.2796917
2981,22.5737658,114.4481385
2982,22.5746872,114.4540689
2985,22.5731872,114.482224
2986,22.575369,114.4914846
2987,22.5754605,114.4982716
3008,22.5798751,113.8344339
3009,22.5768069,113.8399398
3010,22.5784048,113.8478302
3011,22.578564,113.8554929
3012,22.5784511,113.863509
3013,22.5768169,113.8728616
3014,22.578128,113.8814689
3015,22.5794015,113.8891675
3016,22.5785855,113.8995682
3017,22.5784288,113.9068094
3018,22.5787813,113.9140074
3019,22.5784266,113.9240583
3020,22.5781121,113.9313604
3021,22.578033,113.9404851
3022,22.5785525,113.9492952
3032,22.5785889,114.0340249
3034,22.5779611,114.0521525
3035,22.5783437,114.0581203
3036,22.5771106,114.0671715
3037,22.5787125,114.0756859
3038,22.5774123,114.0835994
3039,22.5800044,114.0918839
3040,22.5782433,114.0994367
3041,22.5776886,114.1102792
3042,22.5779026,114.1189928
3043,22.5772072,114.1269908
3044,22.5772577,114.1357839
3045,22.5800845,114.1424783
3048,22.5800531,114.1691748
3052,22.5767524,114.198882
3053,22.5772553,114.2099207
3055,22.57958,114.2276335
3057,22.577661,114.2433811
3058,22.5779937,114.2541438
3059,22.5781059,114.2639758
3060,22.5771784,114.2671271
3061,22.5787551,114.2765447
3082,22.5769574,114.4539319
3085,22.5775418,114.4818347
3086,22.579288,114.4919728
3110,22.5819124,113.8465849
3111,22.5824344,113.8558202
3112,22.5818011,113.864418
3113,22.5820223,113.8745838
3114,22.5826925,113.8818644
3115,22.581957,113.888888
3116,22.5813436,113.8968098
3117,22.5823658,113.9074222
3118,22.583633,113.9154086
3119,22.5811654,113.9254858
3120,22.5819826,113.9325005
3121,22.5818633,113.9412113
3122,22.5820889,113.9498598
3123,22.5825287,113.9575892
3124,22.5826408,113.9655468
3125,22.5830898,113.9777991
3134,22.5803581,114.0523176
3135,22.580929,114.0583082
3136,22.5832627,114.0687001
3137,22.5822637,114.0767672
3138,22.5809887,114.0809351
3139,22.5813379,114.0922885
3140,22.5814797,114.1009345
3141,22.5815199,114.1088718
3142,22.5821083,114.1156483
3143,22.5810123,114.1270991
3144,22.5806193,114.135969
3148,22.5806673,114.1720474
3149,22.5831386,114.1744393
3155,22.5821241,114.2305729
3156,22.5828189,114.2387187
3157,22.5838943,114.2447718
3158,22.5814952,114.2550325
3159,22.5813906,114.2632207
3160,22.5815324,114.2706867
3185,22.582719,114.4802195
3208,22.5877029,113.8335323
3209,22.5867812,113.8395712
3210,22.5854594,113.8492266
3211,22.5862498,113.8558205
3212,22.5844844,113.8635389
3213,22.5858705,113.8734138
3214,22.5844752,113.88136
3215,22.5844085,113.8901943
3216,22.5846934,113.8988326
3217,22.5853321,113.9074212
3218,22.5857719,113.9150872
3219,22.5856455,113.9251472
3221,22.5870496,113.9412322
3222,22.5864775,113.949724
3223,22.5848506,113.9580443
3224,22.5853153,113.9650955
3225,22.587037,113.9744459
3226,22.586664,113.9834541
3227,22.5868286,113.9895039
3229,22.5864863,114.0094357
3236,22.5857807,114.0685349
3237,22.5848891,114.0764003
3239,22.585221,114.0930801
3240,22.5859819,114.1014485
3241,22.5859103,114.1102708
3242,22.5854069,114.115601
3243,22.5869379,114.1273897
3244,22.5859871,114.1340166
3245,22.5850894,114.1450901
3247,22.5862334,114.1645047
3248,22.5863302,114.1693872
3255,22.5850234,114.2317452
3256,22.5854271,114.2377666
