osmid,y,x,street_count,ref,highway,geometry,lat_index,lon_index,grid_index,lat_center,lon_center,distance_to_center
1169609305,22.5099383,113.871772,1,,,POINT (113.871772 22.5099383),12,13,1213,22.5096747875,113.8732111865,0.15071393424231985
2540901592,22.509617,113.8821836,1,,,POINT (113.8821836 22.509617),12,14,1214,22.5096747875,113.8816617855,0.05398640753516973
5369959943,22.5088852,113.8915164,3,,,POINT (113.8915164 22.5088852),12,15,1215,22.5096747875,113.8901123845,0.16884787122175346
2319432249,22.5101183,113.8975421,1,,,POINT (113.8975421 22.5101183),12,16,1216,22.5096747875,113.8985629835,0.11588581572644542
2709078050,22.5112127,113.9107669,1,,,POINT (113.9107669 22.5112127),12,17,1217,22.5096747875,113.9070135825,0.4217748338082325
2407561636,22.5103774,113.9154209,4,,,POINT (113.9154209 22.5103774),12,18,1218,22.5096747875,113.9154641815,0.07825334923024102
2411114349,22.5093886,113.9243303,3,,,POINT (113.9243303 22.5093886),12,19,1219,22.5096747875,113.9239147805,0.05324071541325525
2411120896,22.509565,113.9321825,3,,,POINT (113.9321825 22.509565),12,20,1220,22.5096747875,113.9323653795,0.02240414738656701
1839131175,22.507913,113.9404048,3,,,POINT (113.9404048 22.507913),12,21,1221,22.5096747875,113.9408159785,0.20040352876176862
6907672481,22.5092962,113.9467661,3,,,POINT (113.9467661 22.5092962),12,22,1222,22.5096747875,113.9492665775,0.26028504986426837
598723876,22.5098304,114.0361482,3,,,POINT (114.0361482 22.5098304),12,32,1232,22.5096747875,114.03377256750001,0.2446459012981607
8482608305,22.5097582,114.0427059,4,,,POINT (114.0427059 22.5097582),12,33,1233,22.5096747875,114.04222316650001,0.050448028726736635
8482608267,22.5096312,114.0503257,4,,,POINT (114.0503257 22.5096312),12,34,1234,22.5096747875,114.05067376550001,0.036081525277603506
1492216295,22.5111009,114.0562865,4,,,POINT (114.0562865 22.5111009),12,35,1235,22.5096747875,114.05912436450001,0.3318537100132889
6354524292,22.5087454,114.4977849,1,,,POINT (114.4977849 22.5087454),12,87,1287,22.5096747875,114.4985555125,0.13017743764585468
6514718338,22.5089806,114.5223116,1,,,POINT (114.5223116 22.5089806),12,90,1290,22.5096747875,114.5239073095,0.18118279474139534
5212670492,22.5138341,113.8653632,3,,,POINT (113.8653632 22.5138341),13,12,1312,22.5134812985,113.8647605875,0.07328484769599428
9903558857,22.5136741,113.8743628,3,,,POINT (113.8743628 22.5136741),13,13,1313,22.5134812985,113.8732111865,0.12022142760772062
8922523214,22.5137139,113.8811324,4,,,POINT (113.8811324 22.5137139),13,14,1314,22.5134812985,113.8816617855,0.06021632977854365
2643938895,22.5149608,113.8927044,3,87,motorway_junction,POINT (113.8927044 22.5149608),13,15,1315,22.5134812985,113.8901123845,0.3129773075844006
2421445741,22.5132992,113.9002914,4,,traffic_signals,POINT (113.9002914 22.5132992),13,16,1316,22.5134812985,113.8985629835,0.17869518081275682
3691437085,22.5134717,113.907188,3,,,POINT (113.907188 22.5134717),13,17,1317,22.5134812985,113.9070135825,0.01794805105135066
2428194134,22.5131666,113.9157611,1,,,POINT (113.9157611 22.5131666),13,18,1318,22.5134812985,113.9154641815,0.04641911038553411
8725853688,22.5136512,113.9235995,3,,,POINT (113.9235995 22.5136512),13,19,1319,22.5134812985,113.9239147805,0.03749340762003768
5389588278,22.5132642,113.9327633,3,,,POINT (113.9327633 22.5132642),13,20,1320,22.5134812985,113.9323653795,0.047470972936900196
11219835035,22.5131831,113.9388685,3,,,POINT (113.9388685 22.5131831),13,21,1321,22.5134812985,113.9408159785,0.20277597319300272
5612923648,22.5117655,113.9473042,3,,,POINT (113.9473042 22.5117655),13,22,1322,22.5134812985,113.9492665775,0.27754964024666917
1783922441,22.5145675,114.0376851,4,,,POINT (114.0376851 22.5145675),13,32,1332,22.5134812985,114.03377256750001,0.41965299019325325
598723860,22.5129557,114.0418981,3,,,POINT (114.0418981 22.5129557),13,33,1333,22.5134812985,114.04222316650001,0.06731013999630954
499237864,22.5132968,114.0499357,3,,,POINT (114.0499357 22.5132968),13,34,1334,22.5134812985,114.05067376550001,0.07854132404343074
5435723374,22.5144817,114.0589308,3,,,POINT (114.0589308 22.5144817),13,35,1335,22.5134812985,114.05912436450001,0.11300254999983696
3215737939,22.5136274,114.4799408,3,,,POINT (114.4799408 22.5136274),13,85,1385,22.5134812985,114.4816543145,0.17676145690226436
7223736318,22.5166434,113.8740114,3,,,POINT (113.8740114 22.5166434),14,13,1413,22.5172878095,113.8732111865,0.10904448691941929
