osmid,y,x,street_count,ref,highway,geometry,lat_index,lon_index,grid_index
277663457,22.5638092,113.9289919,3,,,POINT (113.9289919 22.5638092),26,20,2620
277663669,22.5671134,113.9255441,3,,,POINT (113.9255441 22.5671134),27,19,2719
277664219,22.5503963,113.9286928,3,,,POINT (113.9286928 22.5503963),23,20,2320
277664224,22.5401367,113.9270181,3,,,POINT (113.9270181 22.5401367),20,19,2019
277664226,22.5385593,113.9270441,3,,,POINT (113.9270441 22.5385593),20,19,2019
277664239,22.5432566,113.9269242,3,,,POINT (113.9269242 22.5432566),21,19,2119
277664424,22.5254557,113.9239695,3,,,POINT (113.9239695 22.5254557),16,19,1619
277664426,22.5251655,113.925365,3,,,POINT (113.925365 22.5251655),16,19,1619
277664427,22.5249388,113.9266508,3,,,POINT (113.9266508 22.5249388),16,19,1619
277664431,22.5245404,113.9298165,3,,,POINT (113.9298165 22.5245404),16,20,1620
277665082,22.5429582,114.074178,3,,,POINT (114.074178 22.5429582),21,37,2137
277665237,22.5454144,114.0792369,4,,,POINT (114.0792369 22.5454144),21,37,2137
277666352,22.6255439,113.8578014,4,,,POINT (113.8578014 22.6255439),42,11,4211
277666762,22.6209145,113.8548756,4,,,POINT (113.8548756 22.6209145),41,11,4111
277667122,22.620713,113.854945,4,,,POINT (113.854945 22.620713),41,11,4111
277667381,22.5472169,114.0888692,3,,,POINT (114.0888692 22.5472169),22,39,2239
277667695,22.5661894,114.0575528,3,,motorway_junction,POINT (114.0575528 22.5661894),27,35,2735
277667743,22.5551896,113.9442494,3,5,motorway_junction,POINT (113.9442494 22.5551896),24,21,2421
277667749,22.5553662,113.9321433,3,4,motorway_junction,POINT (113.9321433 22.5553662),24,20,2420
277667750,22.5579889,113.9290251,3,,,POINT (113.9290251 22.5579889),25,20,2520
277667938,22.5518402,114.0704258,4,,,POINT (114.0704258 22.5518402),23,36,2336
277667939,22.5518383,114.0700098,3,,,POINT (114.0700098 22.5518383),23,36,2336
277668607,22.5577881,114.0910491,3,,,POINT (114.0910491 22.5577881),25,39,2539
277673161,22.5421526,114.0533359,3,,,POINT (114.0533359 22.5421526),21,34,2134
277728742,22.6229114,113.8638198,3,,,POINT (113.8638198 22.6229114),42,12,4212
277728764,22.5913902,113.9008347,3,,,POINT (113.9008347 22.5913902),33,16,3316
277729743,22.6207969,113.8550352,4,,,POINT (113.8550352 22.6207969),41,11,4111
277838415,22.5653492,113.9344202,3,2264,motorway_junction,POINT (113.9344202 22.5653492),27,20,2720
277933349,22.5360075,114.068191,3,,,POINT (114.068191 22.5360075),19,36,1936
