Grid Index,NW Lat,NW Lon,NE Lat,NE Lon,SW Lat,SW Lon,SE Lat,SE Lon
70,40.912507,-73.86680126,40.912507,-73.861256978,40.908365783,-73.86680126,40.908365783,-73.861256978
71,40.912507,-73.861256978,40.912507,-73.855712696,40.908365783,-73.861256978,40.908365783,-73.855712696
72,40.912507,-73.855712696,40.912507,-73.850168414,40.908365783,-73.855712696,40.908365783,-73.850168414
73,40.912507,-73.850168414,40.912507,-73.84462413199999,40.908365783,-73.850168414,40.908365783,-73.84462413199999
74,40.912507,-73.844624132,40.912507,-73.83907985,40.908365783,-73.844624132,40.908365783,-73.83907985
75,40.912507,-73.83907985,40.912507,-73.833535568,40.908365783,-73.83907985,40.908365783,-73.833535568
76,40.912507,-73.833535568,40.912507,-73.827991286,40.908365783,-73.833535568,40.908365783,-73.827991286
77,40.912507,-73.827991286,40.912507,-73.822447004,40.908365783,-73.827991286,40.908365783,-73.822447004
78,40.912507,-73.822447004,40.912507,-73.816902722,40.908365783,-73.822447004,40.908365783,-73.816902722
79,40.912507,-73.816902722,40.912507,-73.81135843999999,40.908365783,-73.816902722,40.908365783,-73.81135843999999
80,40.912507,-73.81135844,40.912507,-73.805814158,40.908365783,-73.81135844,40.908365783,-73.805814158
81,40.912507,-73.805814158,40.912507,-73.800269876,40.908365783,-73.805814158,40.908365783,-73.800269876
82,40.912507,-73.800269876,40.912507,-73.794725594,40.908365783,-73.800269876,40.908365783,-73.794725594
83,40.912507,-73.794725594,40.912507,-73.789181312,40.908365783,-73.794725594,40.908365783,-73.789181312
84,40.912507,-73.789181312,40.912507,-73.78363703,40.908365783,-73.789181312,40.908365783,-73.78363703
85,40.912507,-73.78363703,40.912507,-73.77809274799999,40.908365783,-73.78363703,40.908365783,-73.77809274799999
86,40.912507,-73.778092748,40.912507,-73.772548466,40.908365783,-73.778092748,40.908365783,-73.772548466
87,40.912507,-73.772548466,40.912507,-73.767004184,40.908365783,-73.772548466,40.908365783,-73.767004184
88,40.912507,-73.767004184,40.912507,-73.761459902,40.908365783,-73.767004184,40.908365783,-73.761459902
89,40.912507,-73.761459902,40.912507,-73.75591562,40.908365783,-73.761459902,40.908365783,-73.75591562
90,40.912507,-73.75591562,40.912507,-73.750371338,40.908365783,-73.75591562,40.908365783,-73.750371338
91,40.912507,-73.750371338,40.912507,-73.74482705599999,40.908365783,-73.750371338,40.908365783,-73.74482705599999
92,40.912507,-73.744827056,40.912507,-73.739282774,40.908365783,-73.744827056,40.908365783,-73.739282774
93,40.912507,-73.739282774,40.912507,-73.733738492,40.908365783,-73.739282774,40.908365783,-73.733738492
94,40.912507,-73.733738492,40.912507,-73.72819421,40.908365783,-73.733738492,40.908365783,-73.72819421
95,40.912507,-73.72819421,40.912507,-73.722649928,40.908365783,-73.72819421,40.908365783,-73.722649928
96,40.912507,-73.722649928,40.912507,-73.717105646,40.908365783,-73.722649928,40.908365783,-73.717105646
97,40.912507,-73.717105646,40.912507,-73.71156136399999,40.908365783,-73.717105646,40.908365783,-73.71156136399999
98,40.912507,-73.711561364,40.912507,-73.706017082,40.908365783,-73.711561364,40.908365783,-73.706017082
99,40.912507,-73.706017082,40.912507,-73.7004728,40.908365783,-73.706017082,40.908365783,-73.7004728
100,40.908365783,-74.254901,40.908365783,-74.249356718,40.904224566,-74.254901,40.904224566,-74.249356718
101,40.908365783,-74.249356718,40.908365783,-74.243812436,40.904224566,-74.249356718,40.904224566,-74.243812436
102,40.908365783,-74.243812436,40.908365783,-74.238268154,40.904224566,-74.243812436,40.904224566,-74.238268154
103,40.908365783,-74.23826815400001,40.908365783,-74.23272387200001,40.904224566,-74.23826815400001,40.904224566,-74.23272387200001
104,40.908365783,-74.23272387200001,40.908365783,-74.22717959,40.904224566,-74.23272387200001,40.904224566,-74.22717959
105,40.908365783,-74.22717959,40.908365783,-74.221635308,40.904224566,-74.22717959,40.904224566,-74.221635308
