osmid,y,x,ref,highway,street_count,geometry,lat_index,lon_index,grid_index,lat_center,lon_center,distance_to_center
42881974,40.761424,-73.735682,,,3,POINT (-73.735682 40.761424),63,93,6393,40.7613525795,-73.73651063300001,0.07024031461673794
42888847,40.761267,-73.731326,,,3,POINT (-73.731326 40.761267),63,94,6394,40.7613525795,-73.730966351,0.031750324810118045
42815490,40.761625,-73.725273,,,4,POINT (-73.725273 40.761625),63,95,6395,40.7613525795,-73.725422069,0.03279054933995601
42838857,40.761016,-73.72076,,,3,POINT (-73.72076 40.761016),63,96,6396,40.7613525795,-73.719877787,0.0831962048127469
42788938,40.7602097,-73.7141688,,,1,POINT (-73.7141688 40.7602097),63,97,6397,40.7613525795,-73.714333505,0.12783728416170062
11017187936,40.7654893,-73.997582,,,4,POINT (-73.997582 40.7654893),64,46,6446,40.765493796499996,-73.99709188700001,0.041279244553636775
42454042,40.7653085,-73.9913292,,traffic_signals,4,POINT (-73.9913292 40.7653085),64,47,6447,40.765493796499996,-73.99154760500001,0.02761975273013289
42445033,40.7659937,-73.9871254,,traffic_signals,4,POINT (-73.9871254 40.7659937),64,48,6448,40.765493796499996,-73.986003323,0.10963503714365425
42440022,40.765521,-73.980036,,traffic_signals,4,POINT (-73.980036 40.765521),64,49,6449,40.765493796499996,-73.980459041,0.0357557354825447
42430394,40.7656797,-73.976244,,traffic_signals,3,POINT (-73.976244 40.7656797),64,50,6450,40.765493796499996,-73.97491475900001,0.11383810506059872
42445961,40.7654664,-73.9700424,,traffic_signals,4,POINT (-73.9700424 40.7654664),64,51,6451,40.765493796499996,-73.96937047700001,0.056669795530730684
42449985,40.7653085,-73.9638433,,traffic_signals,4,POINT (-73.9638433 40.7653085),64,52,6452,40.765493796499996,-73.96382619500001,0.020654327796918264
42431684,40.7652359,-73.9578431,,traffic_signals,4,POINT (-73.9578431 40.7652359),64,53,6453,40.765493796499996,-73.95828191300001,0.04677710531077512
42427030,40.7652696,-73.9521462,,,3,POINT (-73.9521462 40.7652696),64,54,6454,40.765493796499996,-73.952737631,0.055699411251696966
42448850,40.7647677,-73.9471386,,stop,3,POINT (-73.9471386 40.7647677),64,55,6455,40.765493796499996,-73.947193349,0.08086980025878136
2402842573,40.7655268,-73.9402806,,traffic_signals,3,POINT (-73.9402806 40.7655268),64,56,6456,40.765493796499996,-73.94164906700001,0.11530759901300054
42807557,40.7659009,-73.9360169,,,3,POINT (-73.9360169 40.7659009),64,57,6457,40.765493796499996,-73.93610478500001,0.04586893515387888
7726598429,40.7660654,-73.9308933,,traffic_signals,4,POINT (-73.9308933 40.7660654),64,58,6458,40.765493796499996,-73.93056050300001,0.06946457910187182
42833316,40.7651045,-73.9250575,,traffic_signals,4,POINT (-73.9250575 40.7651045),64,59,6459,40.765493796499996,-73.925016221,0.04342716730822811
42874058,40.7657719,-73.9189932,,traffic_signals,4,POINT (-73.9189932 40.7657719),64,60,6460,40.765493796499996,-73.919471939,0.05081176466466238
42832999,40.7654868,-73.9137055,,traffic_signals,4,POINT (-73.9137055 40.7654868),64,61,6461,40.765493796499996,-73.913927657,0.018725731871856218
42842496,40.7660932,-73.9077232,,stop,4,POINT (-73.9077232 40.7660932),64,62,6462,40.765493796499996,-73.90838337500001,0.08679554417399167
42807771,40.765963,-73.903417,,traffic_signals,4,POINT (-73.903417 40.765963),64,63,6463,40.765493796499996,-73.90283909300001,0.07134971585680792
106074504,40.7668066,-73.8970632,5,motorway_junction,3,POINT (-73.8970632 40.7668066),64,64,6464,40.765493796499996,-73.89729481100001,0.14727449727446826
9179243485,40.7657014,-73.8918382,,,3,POINT (-73.8918382 40.7657014),64,65,6465,40.765493796499996,-73.891750529,0.024236487722534263
4927558995,40.7649835,-73.8861314,,crossing,4,POINT (-73.8861314 40.7649835),64,66,6466,40.765493796499996,-73.886206247,0.05709143227676647
1064257397,40.765497,-73.8811501,,,1,POINT (-73.8811501 40.765497),64,67,6467,40.765493796499996,-73.880661965,0.041111174587589304
42818418,40.7660942,-73.8755133,,,3,POINT (-73.8755133 40.7660942),64,68,6468,40.765493796499996,-73.87511768300001,0.07461379507186769
42887563,40.7659915,-73.8700523,,,3,POINT (-73.8700523 40.7659915),64,69,6469,40.765493796499996,-73.86957340100001,0.06847912218386722
42811352,40.7657485,-73.8640766,,traffic_signals,3,POINT (-73.8640766 40.7657485),64,70,6470,40.765493796499996,-73.86402911900001,0.02860263399703529
484800429,40.7639804,-73.8611674,,,3,POINT (-73.8611674 40.7639804),64,71,6471,40.765493796499996,-73.858484837,0.2817083327976558
274315327,40.7639027,-73.8410203,,,3,POINT (-73.8410203 40.7639027),64,74,6474,40.765493796499996,-73.84185199100001,0.19028269455996352
42824316,40.7650974,-73.8370012,,,3,POINT (-73.8370012 40.7650974),64,75,6475,40.765493796499996,-73.83630770900001,0.07317023780864573
42870884,40.764712,-73.830686,,traffic_signals,4,POINT (-73.830686 40.764712),64,76,6476,40.765493796499996,-73.83076342700001,0.08717602319584195
42865362,40.765826,-73.823727,,traffic_signals,4,POINT (-73.823727 40.765826),64,77,6477,40.765493796499996,-73.825219145,0.1309814982750374
7761738932,40.7651396,-73.8194286,,traffic_signals,4,POINT (-73.8194286 40.7651396),64,78,6478,40.765493796499996,-73.819674863,0.0445118504853409
7761724028,40.7651744,-73.8141263,,traffic_signals,4,POINT (-73.8141263 40.7651744),64,79,6479,40.765493796499996,-73.814130581,0.03551710035575984
42882315,40.7658736,-73.8088857,,,4,POINT (-73.8088857 40.7658736),64,80,6480,40.765493796499996,-73.80858629900001,0.04918685900356798
42834371,40.765433,-73.803295,,traffic_signals,4,POINT (-73.803295 40.765433),64,81,6481,40.765493796499996,-73.80304201700001,0.02235246497235617
