osmid,y,x,ref,highway,street_count,geometry,lat_index,lon_index,grid_index
5155682727,40.7788994,-73.8047104,,,3,POINT (-73.8047104 40.7788994),67,81,6781
5155735062,40.6043714,-73.8192949,,,1,POINT (-73.8192949 40.6043714),25,78,2578
5159433792,40.7219524,-73.9962656,,traffic_signals,4,POINT (-73.9962656 40.7219524),53,46,5346
5160036438,40.9013898,-73.8987971,,,1,POINT (-73.8987971 40.9013898),97,64,9764
5160036439,40.9017243,-73.8987167,,,1,POINT (-73.8987167 40.9017243),97,64,9764
5161246307,40.7161492,-73.9961338,,traffic_signals,5,POINT (-73.9961338 40.7161492),52,46,5246
5162100087,40.840504,-73.8433051,,traffic_signals,3,POINT (-73.8433051 40.840504),82,74,8274
5162100108,40.8402603,-73.8425,,,3,POINT (-73.8425 40.8402603),82,74,8274
5162100221,40.840105,-73.8433111,,,4,POINT (-73.8433111 40.840105),82,74,8274
5162117217,40.8182484,-73.8631846,,,3,POINT (-73.8631846 40.8182484),77,70,7770
5162117218,40.8183711,-73.8629611,,,3,POINT (-73.8629611 40.8183711),77,70,7770
5162117321,40.8159308,-73.8607382,,,3,POINT (-73.8607382 40.8159308),76,71,7671
5162117322,40.8160396,-73.8605198,,,3,POINT (-73.8605198 40.8160396),76,71,7671
5163687759,40.7578199,-73.9594365,,,1,POINT (-73.9594365 40.7578199),62,53,6253
5165632724,40.756043,-74.0005227,,,3,POINT (-74.0005227 40.756043),62,45,6245
5173032600,40.7297725,-73.8619619,,,3,POINT (-73.8619619 40.7297725),55,70,5570
5173032603,40.727586,-73.8548052,,,3,POINT (-73.8548052 40.727586),55,72,5572
5173032607,40.723031,-73.8468792,,crossing,3,POINT (-73.8468792 40.723031),54,73,5473
5173594703,40.7176795,-73.9848249,,crossing,3,POINT (-73.9848249 40.7176795),52,48,5248
5174867983,40.7173006,-73.9794215,,turning_circle,1,POINT (-73.9794215 40.7173006),52,49,5249
5175586413,40.8067168,-73.9078504,,traffic_signals,4,POINT (-73.9078504 40.8067168),74,62,7462
5175589690,40.8649993,-73.8360115,,crossing,4,POINT (-73.8360115 40.8649993),88,75,8875
5175611165,40.8650811,-73.8368872,,crossing,3,POINT (-73.8368872 40.8650811),88,75,8875
5175611185,40.8532074,-73.8432851,,traffic_signals,3,POINT (-73.8432851 40.8532074),85,74,8574
