Grid Index,NW Lat,NW Lon,NE Lat,NE Lon,SW Lat,SW Lon,SE Lat,SE Lon
2350,51.595161837,-0.09762010000000004,51.595161837,-0.08937591800000004,51.591230056,-0.09762010000000004,51.591230056,-0.08937591800000004
2351,51.595161837,-0.089375918,51.595161837,-0.081131736,51.591230056,-0.089375918,51.591230056,-0.081131736
2352,51.595161837,-0.08113173600000001,51.595161837,-0.07288755400000001,51.591230056,-0.08113173600000001,51.591230056,-0.07288755400000001
2353,51.595161837,-0.07288755400000002,51.595161837,-0.06464337200000002,51.591230056,-0.07288755400000002,51.591230056,-0.06464337200000002
2354,51.595161837,-0.06464337200000003,51.595161837,-0.05639919000000003,51.591230056,-0.06464337200000003,51.591230056,-0.05639919000000003
2355,51.595161837,-0.05639919000000004,51.595161837,-0.04815500800000004,51.591230056,-0.05639919000000004,51.591230056,-0.04815500800000004
2356,51.595161837,-0.048155008000000055,51.595161837,-0.03991082600000005,51.591230056,-0.048155008000000055,51.591230056,-0.03991082600000005
2357,51.595161837,-0.03991082600000001,51.595161837,-0.03166664400000001,51.591230056,-0.03991082600000001,51.591230056,-0.03166664400000001
2358,51.595161837,-0.03166664400000002,51.595161837,-0.023422462000000022,51.591230056,-0.03166664400000002,51.591230056,-0.023422462000000022
2359,51.595161837,-0.023422462000000033,51.595161837,-0.015178280000000034,51.591230056,-0.023422462000000033,51.591230056,-0.015178280000000034
2360,51.595161837,-0.015178280000000044,51.595161837,-0.006934098000000045,51.591230056,-0.015178280000000044,51.591230056,-0.006934098000000045
2361,51.595161837,-0.006934098,51.595161837,0.0013100839999999996,51.591230056,-0.006934098,51.591230056,0.0013100839999999996
2362,51.595161837,0.0013100839999999891,51.595161837,0.009554265999999988,51.591230056,0.0013100839999999891,51.591230056,0.009554265999999988
2363,51.595161837,0.009554265999999978,51.595161837,0.017798447999999977,51.591230056,0.009554265999999978,51.591230056,0.017798447999999977
2364,51.595161837,0.017798447999999967,51.595161837,0.026042629999999966,51.591230056,0.017798447999999967,51.591230056,0.026042629999999966
2365,51.595161837,0.026042629999999956,51.595161837,0.03428681199999996,51.591230056,0.026042629999999956,51.591230056,0.03428681199999996
2366,51.595161837,0.034286811999999944,51.595161837,0.04253099399999995,51.591230056,0.034286811999999944,51.591230056,0.04253099399999995
2367,51.595161837,0.04253099399999993,51.595161837,0.050775175999999936,51.591230056,0.04253099399999993,51.591230056,0.050775175999999936
2368,51.595161837,0.05077517599999992,51.595161837,0.059019357999999925,51.591230056,0.05077517599999992,51.591230056,0.059019357999999925
2369,51.595161837,0.05901935799999991,51.595161837,0.06726353999999991,51.591230056,0.05901935799999991,51.591230056,0.06726353999999991
2370,51.595161837,0.06726354000000001,51.595161837,0.07550772200000001,51.591230056,0.06726354000000001,51.591230056,0.07550772200000001
2371,51.595161837,0.075507722,51.595161837,0.083751904,51.591230056,0.075507722,51.591230056,0.083751904
